,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
0,2013-01-01,0,2013,0.007215530303030306,0.7700757575757574,0.020583333333333342,0.01842045454545456,45.13257575757575,31.54363518005639,3.1153846153846163,토마토(10kg),강원도,가락도매,29000.0
15,2013-01-02,0,2013,0.0055041666666666685,0.5030303030303029,0.030147727272727295,0.009233333333333336,35.01893939393939,37.602905532390366,8.3,토마토(10kg),강원도,가락도매,29000.0
30,2013-01-03,0,2013,0.005443560606060608,0.6314393939393941,0.021598484848484856,0.014779924242424247,30.36742424242424,35.062375427463735,8.338461538461539,토마토(10kg),강원도,가락도매,30000.0
45,2013-01-04,0,2013,0.006563257575757576,0.859090909090909,0.016128787878787878,0.023881060606060614,50.08333333333334,37.74911017233746,8.292307692307693,토마토(10kg),강원도,가락도매,30000.0
60,2013-01-05,0,2013,0.007224242424242426,0.9742424242424242,0.0188409090909091,0.02332386363636364,58.38257575757576,33.37877094633036,6.9,토마토(10kg),강원도,가락도매,30000.0
75,2013-01-06,0,2013,0.008397727272727275,1.0818181818181818,0.01726136363636364,0.023244318181818185,70.98106060606061,23.495792552184987,7.507692307692308,토마토(10kg),강원도,가락도매,30000.0
90,2013-01-07,0,2013,0.0076522727272727315,1.0318181818181815,0.01869696969696971,0.022956818181818196,64.92803030303031,30.667985278716632,5.1,토마토(10kg),강원도,가락도매,30000.0
105,2013-01-08,0,2013,0.00863977272727273,0.9863636363636362,0.02024242424242425,0.020204924242424243,66.86363636363636,27.46389357244258,7.861538461538463,토마토(10kg),강원도,가락도매,27000.0
120,2013-01-09,0,2013,0.005910606060606063,0.6246212121212122,0.02475757575757577,0.015103787878787885,40.85984848484848,27.224863819708208,8.4,토마토(10kg),강원도,가락도매,27000.0
135,2013-01-10,0,2013,0.0055965909090909104,0.6545454545454545,0.02189393939393941,0.0169689393939394,36.86363636363636,20.465040083176973,8.399999999999999,토마토(10kg),강원도,가락도매,27000.0
150,2013-01-11,0,2013,0.008563636363636367,0.9643939393939396,0.018704545454545463,0.0239625,58.93939393939394,18.676172970311246,6.884615384615388,토마토(10kg),강원도,가락도매,27000.0
165,2013-01-12,0,2013,0.013225378787878791,1.2738636363636364,0.018325757575757586,0.02766212121212121,98.60227272727272,21.76005011006152,3.4230769230769242,토마토(10kg),강원도,가락도매,26333.33333333333
