,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
1,2013-01-01,1,2013,0.006340224358974359,0.6491987179487178,0.013143162393162391,0.03192339743589745,44.532051282051285,31.54363518005634,3.8,토마토(10kg),경기도,가락도매,29000.0
16,2013-01-02,1,2013,0.005632158119658121,0.4172542735042734,0.023083333333333345,0.018736378205128214,24.678418803418808,37.602905532390345,8.819999999999997,토마토(10kg),경기도,가락도매,29000.0
31,2013-01-03,1,2013,0.0069073183760683795,0.5295405982905984,0.017164529914529922,0.02576271367521368,34.150106837606835,35.062375427463806,8.879999999999997,토마토(10kg),경기도,가락도매,30000.0
46,2013-01-04,1,2013,0.007592414529914535,0.8037393162393162,0.009352564102564105,0.04438851495726498,53.614850427350426,37.749110172337495,8.78,토마토(10kg),경기도,가락도매,30000.0
61,2013-01-05,1,2013,0.008213461538461536,0.9988247863247864,0.006562500000000001,0.05610470085470085,69.98985042735042,33.37877094633039,6.540000000000001,토마토(10kg),경기도,가락도매,30000.0
76,2013-01-06,1,2013,0.009760790598290605,1.1098824786324792,0.010090811965811968,0.04572168803418805,87.27136752136755,23.495792552185033,7.979999999999999,토마토(10kg),경기도,가락도매,30000.0
91,2013-01-07,1,2013,0.008863408119658123,1.0746794871794871,0.008502136752136754,0.05269674145299145,77.68482905982907,30.66798527871666,5.26,토마토(10kg),경기도,가락도매,30000.0
106,2013-01-08,1,2013,0.009232104700854706,1.055929487179487,0.011497863247863251,0.049635576923076935,76.61752136752139,27.463893572442604,7.62,토마토(10kg),경기도,가락도매,27000.0
121,2013-01-09,1,2013,0.006799946581196585,0.5651175213675215,0.017459401709401714,0.029495405982906002,37.730235042735046,27.22486381970819,9.0,토마토(10kg),경기도,가락도매,27000.0
136,2013-01-10,1,2013,0.0080511217948718,0.7666132478632479,0.011878205128205132,0.04011255341880343,47.45405982905983,20.465040083176973,8.879999999999997,토마토(10kg),경기도,가락도매,27000.0
151,2013-01-11,1,2013,0.008672702991452995,0.8884615384615386,0.006728632478632482,0.05106084401709403,59.94871794871796,18.67617297031122,6.56,토마토(10kg),경기도,가락도매,27000.0
166,2013-01-12,1,2013,0.011944711538461543,1.0994658119658114,0.007216346153846157,0.04769129273504274,110.5277777777778,21.760050110061513,0.22000000000000006,토마토(10kg),경기도,가락도매,26333.33333333333
181,2013-01-13,1,2013,0.010139797008547006,1.595886752136752,0.006259081196581197,0.050926014957264974,153.83386752136752,27.54442263964756,0.92,토마토(10kg),경기도,가락도매,25666.66666666667
196,2013-01-14,1,2013,0.009397168803418806,1.3299679487179483,0.010005341880341884,0.05017051282051283,117.34294871794873,33.04139702561908,4.76,토마토(10kg),경기도,가락도매,25000.0
211,2013-01-15,1,2013,0.010677670940170948,1.2907585470085472,0.007698717948717949,0.058100213675213674,118.18269230769234,34.78779965895815,3.58,토마토(10kg),경기도,가락도매,25000.0
226,2013-01-16,1,2013,0.00988963675213675,1.0533653846153843,0.010349358974358977,0.04933082264957265,101.64476495726494,51.397836123862284,2.08,토마토(10kg),경기도,가락도매,28000.0
241,2013-01-17,1,2013,0.011095512820512821,1.0102564102564098,0.015764957264957268,0.0384936965811966,111.17307692307692,44.38182716474783,6.34,토마토(10kg),경기도,가락도매,28000.0
256,2013-01-18,1,2013,0.007219871794871799,0.8130876068376068,0.01266452991452992,0.04384861111111113,63.688568376068346,50.17313139832866,8.599999999999998,토마토(10kg),경기도,가락도매,28000.0
271,2013-01-19,1,2013,0.011529861111111121,0.96116452991453,0.01040544871794872,0.04854497863247866,82.72970085470084,43.688865180752735,5.2799999999999985,토마토(10kg),경기도,가락도매,28666.66666666667
286,2013-01-20,1,2013,0.010544497863247869,1.112713675213675,0.011013354700854705,0.046644337606837616,114.18482905982907,42.56011704360561,0.72,토마토(10kg),경기도,가락도매,29333.33333333333
301,2013-01-21,1,2013,0.00488760683760684,0.6561965811965812,0.012747329059829069,0.03422003205128206,34.030448717948715,40.257928376360134,0.0,토마토(10kg),경기도,가락도매,30000.0
316,2013-01-22,1,2013,0.004753365384615386,0.6433226495726497,0.010480235042735042,0.03624236111111113,22.36111111111111,29.74112753922984,0.1,토마토(10kg),경기도,가락도매,30000.0
331,2013-01-23,1,2013,0.004575854700854703,0.6183760683760684,0.013559829059829064,0.03068226495726497,39.069444444444436,22.260148494435438,0.02,토마토(10kg),경기도,가락도매,30000.0
346,2013-01-24,1,2013,0.00860042735042735,0.6800213675213674,0.02073985042735043,0.02473787393162394,62.729700854700845,19.870218099837967,1.36,토마토(10kg),경기도,가락도매,35000.0
361,2013-01-25,1,2013,0.004404273504273506,0.3626602564102565,0.025246260683760697,0.015906570512820517,32.323183760683754,23.08106246921904,9.36,토마토(10kg),경기도,가락도매,35000.0
376,2013-01-26,1,2013,0.005656303418803421,0.4591346153846153,0.023618589743589748,0.019679967948717958,31.987713675213676,28.706286032340607,9.36,토마토(10kg),경기도,가락도매,35000.0
391,2013-01-27,1,2013,0.004910470085470087,0.5767628205128206,0.02012660256410256,0.024783814102564115,39.00320512820512,29.59403302400577,9.24,토마토(10kg),경기도,가락도매,35000.0
406,2013-01-28,1,2013,0.006160470085470089,0.7354166666666666,0.009257478632478637,0.04035005341880343,54.63675213675212,24.209899745287657,3.9,토마토(10kg),경기도,가락도매,35000.0
421,2013-01-29,1,2013,0.00702297008547009,0.8274038461538462,0.005270299145299146,0.047604861111111126,75.34722222222219,20.971423874836336,0.0,토마토(10kg),경기도,가락도매,38000.0
436,2013-01-30,1,2013,0.007995405982905988,1.0332799145299152,0.0070395299145299154,0.05335438034188037,85.93002136752136,22.985396595509425,0.74,토마토(10kg),경기도,가락도매,38000.0
451,2013-01-31,1,2013,0.007308173076923079,0.9197649572649572,0.010441239316239316,0.0491755876068376,86.33653846153842,23.57274517520704,6.7200000000000015,토마토(10kg),경기도,가락도매,38000.0
466,2013-02-01,1,2013,0.004854377637130802,0.6895569620253167,0.013064345991561184,0.03617979957805907,41.591244725738406,22.287017052681012,0.0,토마토(10kg),경기도,가락도매,38000.0
481,2013-02-02,1,2013,0.004779483122362871,0.476318565400844,0.022277953586497902,0.019518565400843898,40.27267932489451,24.540584111789247,8.34,토마토(10kg),경기도,가락도매,38000.0
496,2013-02-03,1,2013,0.004029746835443043,0.5482067510548524,0.01129324894514768,0.028691877637130807,33.14820675105484,28.695370838064974,0.04,토마토(10kg),경기도,가락도매,38000.0
511,2013-02-04,1,2013,0.004899419831223631,0.6095991561181436,0.017150843881856545,0.02917378691983124,33.81592827004219,37.23809905157345,6.5,토마토(10kg),경기도,가락도매,38000.0
