,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
11,2013-01-01,11,2013,0.00808822463768116,0.6318840579710144,0.01778442028985508,0.025764130434782602,77.42572463768116,31.543635180056402,4.364285714285715,토마토(10kg),경상남도,엄궁도매,28000.0
26,2013-01-02,11,2013,0.006880434782608698,0.47264492753623205,0.02749275362318842,0.014323369565217396,66.14492753623188,37.60290553239039,8.05,토마토(10kg),경상남도,엄궁도매,28000.0
41,2013-01-03,11,2013,0.003603260869565219,0.3010869565217392,0.030518115942029,0.010070652173913048,22.20471014492753,35.062375427463735,7.5285714285714285,토마토(10kg),경상남도,엄궁도매,28000.0
56,2013-01-04,11,2013,0.0041121376811594215,0.4067028985507246,0.022168478260869574,0.021277898550724643,31.8713768115942,37.749110172337474,8.428571428571429,토마토(10kg),경상남도,엄궁도매,28000.0
71,2013-01-05,11,2013,0.004459963768115944,0.4592391304347826,0.021221014492753626,0.02340434782608696,36.01811594202898,33.37877094633037,8.164285714285715,토마토(10kg),경상남도,엄궁도매,28000.0
86,2013-01-06,11,2013,0.00741666666666667,0.6304347826086957,0.02242753623188407,0.02152010869565218,57.6213768115942,23.495792552184984,7.542857142857143,토마토(10kg),경상남도,엄궁도매,28000.0
101,2013-01-07,11,2013,0.00511702898550725,0.5355072463768115,0.020398550724637688,0.02643351449275364,47.61413043478261,30.667985278716632,8.435714285714287,토마토(10kg),경상남도,엄궁도매,28000.0
116,2013-01-08,11,2013,0.006955797101449278,0.5721014492753622,0.02271014492753624,0.025914855072463768,60.31340579710145,27.46389357244258,8.428571428571429,토마토(10kg),경상남도,엄궁도매,28000.0
131,2013-01-09,11,2013,0.006403804347826086,0.4778985507246378,0.030760869565217407,0.015243659420289863,47.69565217391305,27.224863819708208,8.285714285714286,토마토(10kg),경상남도,엄궁도매,28000.0
146,2013-01-10,11,2013,0.004696920289855075,0.4157608695652174,0.02752173913043479,0.014762318840579712,27.90398550724638,20.465040083176973,8.55,토마토(10kg),경상남도,엄궁도매,28000.0
161,2013-01-11,11,2013,0.006289673913043481,0.6347826086956522,0.01745833333333334,0.030602536231884067,50.96195652173913,18.676172970311253,8.278571428571428,토마토(10kg),경상남도,엄궁도매,28000.0
176,2013-01-12,11,2013,0.007504891304347831,0.8786231884057972,0.01623188405797102,0.0392,72.67028985507248,21.76005011006152,8.107142857142856,토마토(10kg),경상남도,엄궁도매,28000.0
191,2013-01-13,11,2013,0.00721485507246377,0.8297101449275361,0.01501086956521739,0.031967753623188426,102.46739130434784,27.544422639647557,0.05714285714285715,토마토(10kg),경상남도,엄궁도매,28000.0
206,2013-01-14,11,2013,0.009230253623188408,0.7855072463768116,0.023992753623188413,0.025769202898550742,103.51268115942028,33.041397025619105,8.178571428571429,토마토(10kg),경상남도,엄궁도매,28000.0
221,2013-01-15,11,2013,0.008164130434782611,0.8920289855072465,0.015623188405797109,0.03601431159420291,108.42934782608695,34.78779965895809,7.9785714285714295,토마토(10kg),경상남도,엄궁도매,28000.0
236,2013-01-16,11,2013,0.007334239130434786,0.814855072463768,0.021538043478260868,0.03018641304347827,82.07427536231884,51.39783612386223,5.985714285714287,토마토(10kg),경상남도,엄궁도매,28000.0
251,2013-01-17,11,2013,0.006705978260869569,0.6456521739130435,0.03342934782608697,0.015844384057971016,70.51992753623188,44.38182716474783,6.3428571428571425,토마토(10kg),경상남도,엄궁도매,26000.0
266,2013-01-18,11,2013,0.0065898550724637715,0.713768115942029,0.02394202898550725,0.02674094202898552,74.28804347826087,50.17313139832865,8.692857142857143,토마토(10kg),경상남도,엄궁도매,26000.0
281,2013-01-19,11,2013,0.005513405797101452,0.6434782608695649,0.019824275362318844,0.027952173913043492,57.64855072463769,43.68886518075282,8.092857142857143,토마토(10kg),경상남도,엄궁도매,26666.66666666667
296,2013-01-20,11,2013,0.007052717391304352,0.8143115942028984,0.01766847826086957,0.03129365942028985,94.85507246376812,42.5601170436056,2.9714285714285715,토마토(10kg),경상남도,엄궁도매,27333.33333333333
311,2013-01-21,11,2013,0.004832608695652178,0.77481884057971,0.01016847826086957,0.033221557971014504,61.09963768115942,40.25792837636006,0.0,토마토(10kg),경상남도,엄궁도매,28000.0
