,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
4,2013-01-01,4,2013,0.006362962962962965,0.7395833333333335,0.015652777777777783,0.017980092592592596,48.280092592592595,31.543635180056402,2.686666666666666,토마토(10kg),경상북도,북부도매,29000.0
19,2013-01-02,4,2013,0.0055907407407407425,0.5675925925925926,0.025476851851851855,0.01111666666666667,44.83333333333334,37.602905532390366,7.98,토마토(10kg),경상북도,북부도매,29000.0
34,2013-01-03,4,2013,0.004653240740740743,0.46296296296296297,0.023956018518518533,0.010348611111111116,24.291666666666664,35.062375427463735,7.76,토마토(10kg),경상북도,북부도매,29000.0
49,2013-01-04,4,2013,0.005142361111111114,0.5851851851851851,0.018805555555555558,0.01538263888888889,34.89583333333334,37.74911017233747,7.993333333333332,토마토(10kg),경상북도,북부도매,29000.0
64,2013-01-05,4,2013,0.005434490740740743,0.6224537037037037,0.021282407407407417,0.015424074074074078,36.87962962962964,33.37877094633036,8.02,토마토(10kg),경상북도,북부도매,29000.0
79,2013-01-06,4,2013,0.0077960648148148156,0.7777777777777777,0.021787037037037042,0.015482407407407412,53.668981481481474,23.495792552184987,7.166666666666668,토마토(10kg),경상북도,북부도매,29000.0
94,2013-01-07,4,2013,0.005699537037037039,0.6902777777777778,0.020821759259259262,0.016740277777777788,43.5462962962963,30.667985278716635,6.62,토마토(10kg),경상북도,북부도매,29000.0
109,2013-01-08,4,2013,0.007462037037037039,0.7886574074074075,0.01955092592592593,0.020271527777777784,63.67824074074075,27.463893572442583,7.926666666666668,토마토(10kg),경상북도,북부도매,29000.0
124,2013-01-09,4,2013,0.005751620370370372,0.5625,0.028023148148148158,0.012457407407407412,40.583333333333336,27.224863819708208,7.946666666666666,토마토(10kg),경상북도,북부도매,29000.0
139,2013-01-10,4,2013,0.005143981481481485,0.5729166666666665,0.025969907407407414,0.012815509259259264,28.118055555555557,20.465040083176973,8.046666666666669,토마토(10kg),경상북도,북부도매,29000.0
154,2013-01-11,4,2013,0.007082175925925928,0.8314814814814814,0.018511574074074083,0.02139027777777779,51.92129629629629,18.67617297031125,7.946666666666667,토마토(10kg),경상북도,북부도매,29000.0
169,2013-01-12,4,2013,0.008381481481481485,0.9365740740740744,0.019798611111111114,0.023732870370370376,72.83101851851852,21.76005011006152,5.973333333333333,토마토(10kg),경상북도,북부도매,29000.0
184,2013-01-13,4,2013,0.00945046296296297,1.13125,0.016974537037037045,0.0213212962962963,122.33333333333331,27.54442263964755,0.29999999999999993,토마토(10kg),경상북도,북부도매,29000.0
199,2013-01-14,4,2013,0.0097400462962963,1.0636574074074074,0.022581018518518528,0.01912199074074075,104.25,33.041397025619105,7.013333333333335,토마토(10kg),경상북도,북부도매,29000.0
214,2013-01-15,4,2013,0.00821087962962963,1.0789351851851852,0.01564583333333333,0.026063425925925938,103.92592592592592,34.78779965895809,6.6599999999999975,토마토(10kg),경상북도,북부도매,29000.0
229,2013-01-16,4,2013,0.0073199074074074095,0.9282407407407408,0.021703703703703708,0.02134560185185185,85.82407407407408,51.39783612386224,3.933333333333333,토마토(10kg),경상북도,북부도매,29000.0
244,2013-01-17,4,2013,0.007100000000000003,0.7981481481481482,0.03027546296296298,0.01272407407407408,74.15046296296295,44.38182716474782,4.340000000000002,토마토(10kg),경상북도,북부도매,27000.0
259,2013-01-18,4,2013,0.006013194444444447,0.7613425925925924,0.025152777777777774,0.017054861111111118,70.90972222222223,50.17313139832865,8.386666666666667,토마토(10kg),경상북도,북부도매,27000.0
274,2013-01-19,4,2013,0.006673379629629632,0.7706018518518518,0.02393750000000001,0.018231018518518518,59.72916666666666,43.68886518075281,6.3066666666666675,토마토(10kg),경상북도,북부도매,27000.0
289,2013-01-20,4,2013,0.007772685185185186,0.9513888888888888,0.020173611111111114,0.020493518518518525,93.13194444444444,42.5601170436056,2.506666666666667,토마토(10kg),경상북도,북부도매,27000.0
304,2013-01-21,4,2013,0.005993518518518521,0.8837962962962964,0.014472222222222228,0.021645370370370374,45.3287037037037,40.25792837636007,0.02666666666666667,토마토(10kg),경상북도,북부도매,27000.0
319,2013-01-22,4,2013,0.0043439814814814825,0.6736111111111113,0.020356481481481486,0.01592337962962963,19.337962962962962,29.74112753922985,0.34666666666666657,토마토(10kg),경상북도,북부도매,27000.0
