,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
12,2013-01-01,12,2013,0.007435185185185188,0.9425925925925924,0.010620370370370374,0.03458333333333334,61.726851851851855,31.54363518005639,3.8,토마토(10kg),광주광역시,각화도매,28000.0
27,2013-01-02,12,2013,0.00616203703703704,0.5476851851851854,0.024009259259259272,0.017425925925925942,41.634259259259274,37.602905532390366,9.0,토마토(10kg),광주광역시,각화도매,28000.0
42,2013-01-03,12,2013,0.00490740740740741,0.5060185185185184,0.024500000000000008,0.01564814814814815,26.92129629629629,35.062375427463735,8.4,토마토(10kg),광주광역시,각화도매,28000.0
57,2013-01-04,12,2013,0.004898148148148151,0.5712962962962963,0.0213425925925926,0.023231481481481485,29.356481481481477,37.74911017233746,9.2,토마토(10kg),광주광역시,각화도매,28000.0
72,2013-01-05,12,2013,0.0048194444444444465,0.6550925925925927,0.017921296296296303,0.027773148148148158,32.5,33.37877094633036,8.7,토마토(10kg),광주광역시,각화도매,28000.0
87,2013-01-06,12,2013,0.007574074074074077,0.8060185185185185,0.021000000000000005,0.026120370370370384,49.967592592592595,23.495792552184998,8.0,토마토(10kg),광주광역시,각화도매,28000.0
102,2013-01-07,12,2013,0.006949074074074075,0.837037037037037,0.019541666666666683,0.03135185185185187,53.064814814814824,30.667985278716635,9.2,토마토(10kg),광주광역시,각화도매,28000.0
117,2013-01-08,12,2013,0.009231481481481486,0.923148148148148,0.0175138888888889,0.032944444444444464,67.98148148148147,27.46389357244258,8.9,토마토(10kg),광주광역시,각화도매,28000.0
132,2013-01-09,12,2013,0.006791666666666671,0.6212962962962963,0.025643518518518527,0.017893518518518527,44.125,27.224863819708208,8.2,토마토(10kg),광주광역시,각화도매,28000.0
147,2013-01-10,12,2013,0.005481481481481485,0.5513888888888888,0.022777777777777796,0.01833796296296297,31.92592592592593,20.465040083176973,9.3,토마토(10kg),광주광역시,각화도매,28000.0
162,2013-01-11,12,2013,0.006319444444444447,0.8712962962962963,0.01316203703703704,0.0401388888888889,54.59259259259258,18.67617297031124,8.2,토마토(10kg),광주광역시,각화도매,28000.0
177,2013-01-12,12,2013,0.008495370370370372,1.191203703703704,0.010097222222222223,0.05000000000000001,99.9675925925926,21.76005011006152,7.9,토마토(10kg),광주광역시,각화도매,28000.0
192,2013-01-13,12,2013,0.006268518518518521,1.226851851851852,0.006430555555555557,0.040245370370370376,117.58333333333331,27.544422639647546,0.0,토마토(10kg),광주광역시,각화도매,28000.0
207,2013-01-14,12,2013,0.008819444444444447,1.2226851851851854,0.015722222222222224,0.034620370370370385,96.45833333333334,33.04139702561911,7.9,토마토(10kg),광주광역시,각화도매,28000.0
222,2013-01-15,12,2013,0.008421296296296298,1.276388888888889,0.012097222222222223,0.04752777777777778,97.87962962962965,34.78779965895809,7.9,토마토(10kg),광주광역시,각화도매,28000.0
237,2013-01-16,12,2013,0.006675925925925929,1.1106481481481478,0.012564814814814815,0.037699074074074086,83.85185185185186,51.39783612386224,0.0,토마토(10kg),광주광역시,각화도매,28000.0
252,2013-01-17,12,2013,0.007523148148148149,0.7254629629629629,0.03198611111111113,0.01770833333333334,63.4675925925926,44.38182716474781,3.7,토마토(10kg),광주광역시,각화도매,28000.0
267,2013-01-18,12,2013,0.005587962962962966,0.8222222222222224,0.017759259259259266,0.03397222222222223,51.125,50.17313139832863,9.4,토마토(10kg),광주광역시,각화도매,28000.0
282,2013-01-19,12,2013,0.006250000000000002,1.098611111111111,0.010361111111111113,0.04311574074074074,64.875,43.68886518075279,1.1,토마토(10kg),광주광역시,각화도매,28666.66666666667
297,2013-01-20,12,2013,0.008115740740740745,1.1060185185185183,0.01808796296296297,0.031069444444444462,83.67592592592592,42.5601170436056,5.8,토마토(10kg),광주광역시,각화도매,29333.33333333333
312,2013-01-21,12,2013,0.005064814814814817,0.8893518518518518,0.012726851851851859,0.033314814814814825,30.63888888888889,40.25792837636008,0.0,토마토(10kg),광주광역시,각화도매,30000.0
327,2013-01-22,12,2013,0.003847222222222224,0.7273148148148149,0.019745370370370382,0.0228888888888889,22.212962962962962,29.74112753922984,0.0,토마토(10kg),광주광역시,각화도매,30000.0
342,2013-01-23,12,2013,0.003995370370370372,0.7810185185185187,0.014787037037037043,0.02853240740740742,34.24537037037037,22.260148494435416,0.0,토마토(10kg),광주광역시,각화도매,32000.0
357,2013-01-24,12,2013,0.007013888888888891,1.012962962962963,0.014810185185185185,0.03297222222222223,71.14814814814814,19.870218099837945,0.0,토마토(10kg),광주광역시,각화도매,32000.0
372,2013-01-25,12,2013,0.004462962962962965,0.5055555555555554,0.0301851851851852,0.013532407407407413,29.10185185185185,23.081062469219088,7.8,토마토(10kg),광주광역시,각화도매,32000.0
387,2013-01-26,12,2013,0.004583333333333336,0.4921296296296297,0.028907407407407423,0.014032407407407414,24.129629629629626,28.706286032340635,9.1,토마토(10kg),광주광역시,각화도매,32000.0
402,2013-01-27,12,2013,0.004518518518518521,0.5439814814814814,0.02978703703703705,0.014532407407407412,23.759259259259252,29.594033024005768,4.5,토마토(10kg),광주광역시,각화도매,32000.0
417,2013-01-28,12,2013,0.0055000000000000005,0.9287037037037036,0.013111111111111113,0.0369351851851852,50.12962962962962,24.209899745287657,8.5,토마토(10kg),광주광역시,각화도매,32000.0
432,2013-01-29,12,2013,0.005949074074074077,1.2120370370370372,0.010717592592592593,0.04581944444444444,75.62037037037038,20.971423874836365,6.9,토마토(10kg),광주광역시,각화도매,32000.0
447,2013-01-30,12,2013,0.005791666666666671,1.136574074074074,0.010814814814814815,0.04434722222222223,66.09722222222223,22.985396595509407,9.1,토마토(10kg),광주광역시,각화도매,32000.0
462,2013-01-31,12,2013,0.008773148148148151,1.0023148148148149,0.020597222222222225,0.03875462962962964,70.51851851851853,23.572745175207015,1.8,토마토(10kg),광주광역시,각화도매,32000.0
477,2013-02-01,12,2013,0.004722222222222225,0.6416666666666667,0.025851851851851862,0.020796296296296302,19.91666666666666,22.28701705268103,0.0,토마토(10kg),광주광역시,각화도매,32000.0
492,2013-02-02,12,2013,0.004282407407407409,0.4986111111111111,0.030115740740740755,0.01442592592592593,33.10648148148149,24.5405841117892,9.8,토마토(10kg),광주광역시,각화도매,32000.0
507,2013-02-03,12,2013,0.00452777777777778,0.6291666666666667,0.013148148148148152,0.027046296296296308,35.615740740740726,28.695370838065,0.0,토마토(10kg),광주광역시,각화도매,32000.0
522,2013-02-04,12,2013,0.004976851851851854,0.6824074074074074,0.01845370370370371,0.02507870370370371,26.60185185185185,37.23809905157342,3.8,토마토(10kg),광주광역시,각화도매,32000.0
537,2013-02-05,12,2013,0.005398148148148151,0.8624999999999999,0.012412037037037044,0.031569444444444456,54.5,29.90086062785448,0.0,토마토(10kg),광주광역시,각화도매,32000.0
552,2013-02-06,12,2013,0.004333333333333336,0.6550925925925924,0.024194444444444456,0.0216851851851852,29.828703703703688,23.492542625133492,1.9,토마토(10kg),광주광역시,각화도매,32000.0
567,2013-02-07,12,2013,0.0053009259259259285,0.5694444444444444,0.030254629629629638,0.012592592592592594,36.263888888888886,25.133659538759094,4.7,토마토(10kg),광주광역시,각화도매,32000.0
