,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
9,2013-01-01,9,2013,0.007942307692307695,0.8554487179487181,0.00893910256410257,0.03421153846153848,56.240384615384606,31.543635180056395,5.0,토마토(10kg),대구광역시,북부도매,29000.0
24,2013-01-02,9,2013,0.006509615384615388,0.5057692307692309,0.0216346153846154,0.019221153846153853,47.089743589743605,37.602905532390366,8.7,토마토(10kg),대구광역시,북부도매,29000.0
39,2013-01-03,9,2013,0.0048750000000000035,0.3320512820512821,0.02041666666666668,0.018592948717948726,27.221153846153847,35.062375427463735,9.5,토마토(10kg),대구광역시,북부도매,29000.0
54,2013-01-04,9,2013,0.006125000000000002,0.4852564102564102,0.014583333333333334,0.029179487179487186,34.03846153846154,37.74911017233746,9.5,토마토(10kg),대구광역시,북부도매,29000.0
69,2013-01-05,9,2013,0.006695512820512822,0.5814102564102565,0.01443269230769231,0.031003205128205136,41.9102564102564,33.37877094633036,9.2,토마토(10kg),대구광역시,북부도매,29000.0
84,2013-01-06,9,2013,0.009426282051282054,0.7330128205128204,0.014410256410256412,0.03118910256410258,51.891025641025635,23.495792552184987,7.4,토마토(10kg),대구광역시,북부도매,29000.0
99,2013-01-07,9,2013,0.007442307692307693,0.6650641025641024,0.014038461538461543,0.03409935897435898,45.006410256410255,30.667985278716632,9.2,토마토(10kg),대구광역시,북부도매,29000.0
114,2013-01-08,9,2013,0.010410256410256415,0.7945512820512821,0.010592948717948721,0.04256089743589745,76.17307692307692,27.463893572442583,8.9,토마토(10kg),대구광역시,북부도매,29000.0
129,2013-01-09,9,2013,0.006150641025641029,0.4817307692307693,0.02272756410256412,0.02166666666666668,43.43269230769231,27.224863819708208,9.1,토마토(10kg),대구광역시,북부도매,29000.0
144,2013-01-10,9,2013,0.005894230769230772,0.5262820512820512,0.017439102564102575,0.026118589743589757,32.740384615384606,20.465040083176973,9.6,토마토(10kg),대구광역시,북부도매,29000.0
159,2013-01-11,9,2013,0.009022435897435902,0.9285256410256412,0.008307692307692311,0.045057692307692326,64.55769230769229,18.67617297031125,8.7,토마토(10kg),대구광역시,북부도매,29000.0
174,2013-01-12,9,2013,0.011179487179487184,1.082051282051282,0.007929487179487181,0.051878205128205145,88.45512820512822,21.76005011006152,9.0,토마토(10kg),대구광역시,북부도매,29000.0
189,2013-01-13,9,2013,0.011282051282051286,1.4144230769230768,0.004259615384615386,0.051634615384615404,136.72115384615387,27.544422639647546,0.1,토마토(10kg),대구광역시,북부도매,29000.0
204,2013-01-14,9,2013,0.011407051282051285,1.0041666666666669,0.013285256410256416,0.03591025641025642,122.32051282051285,33.04139702561911,8.0,토마토(10kg),대구광역시,북부도매,29000.0
219,2013-01-15,9,2013,0.011919871794871795,1.2669871794871794,0.006705128205128206,0.056804487179487176,132.69230769230768,34.78779965895809,7.4,토마토(10kg),대구광역시,북부도매,29000.0
234,2013-01-16,9,2013,0.009814102564102568,0.9041666666666668,0.013618589743589744,0.04095833333333335,97.33333333333331,51.39783612386224,6.0,토마토(10kg),대구광역시,북부도매,29000.0
