,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
7,2013-01-01,7,2013,0.008020833333333336,0.8566666666666667,0.0079,0.03617083333333334,45.82083333333334,31.54363518005639,3.8,토마토(10kg),대전광역시,오정도매,30000.0
22,2013-01-02,7,2013,0.005233333333333336,0.38833333333333336,0.02204583333333334,0.01939583333333334,26.370833333333334,37.602905532390366,8.8,토마토(10kg),대전광역시,오정도매,30000.0
37,2013-01-03,7,2013,0.004704166666666669,0.4579166666666666,0.014550000000000004,0.027041666666666683,26.7875,35.062375427463735,8.9,토마토(10kg),대전광역시,오정도매,30000.0
52,2013-01-04,7,2013,0.006204166666666669,0.7837500000000002,0.007379166666666668,0.042433333333333344,40.7875,37.74911017233746,8.9,토마토(10kg),대전광역시,오정도매,30000.0
67,2013-01-05,7,2013,0.006779166666666669,0.9145833333333332,0.006333333333333335,0.04813750000000002,46.4625,33.37877094633036,8.3,토마토(10kg),대전광역시,오정도매,30000.0
82,2013-01-06,7,2013,0.008087500000000003,0.9279166666666664,0.011691666666666666,0.03723750000000002,50.17083333333333,23.495792552184987,7.2,토마토(10kg),대전광역시,오정도매,30000.0
97,2013-01-07,7,2013,0.008645833333333337,0.9904166666666668,0.0086875,0.045454166666666684,52.05416666666666,30.667985278716635,6.9,토마토(10kg),대전광역시,오정도매,30000.0
112,2013-01-08,7,2013,0.009441666666666671,1.1241666666666668,0.0075208333333333325,0.05262916666666667,73.44583333333333,27.46389357244258,8.4,토마토(10kg),대전광역시,오정도매,30000.0
127,2013-01-09,7,2013,0.005670833333333337,0.4883333333333334,0.019154166666666674,0.02664583333333334,32.1375,27.224863819708208,8.7,토마토(10kg),대전광역시,오정도매,30000.0
142,2013-01-10,7,2013,0.006062500000000003,0.6529166666666668,0.010725000000000002,0.03699166666666668,34.3875,20.465040083176973,9.1,토마토(10kg),대전광역시,오정도매,30000.0
157,2013-01-11,7,2013,0.0076625000000000035,1.0045833333333334,0.0051708333333333354,0.051216666666666674,53.29166666666666,18.676172970311246,7.4,토마토(10kg),대전광역시,오정도매,27000.0
172,2013-01-12,7,2013,0.01210833333333334,1.2741666666666671,0.008266666666666667,0.04908333333333335,99.06250000000004,21.76005011006152,5.5,토마토(10kg),대전광역시,오정도매,28000.0
187,2013-01-13,7,2013,0.009441666666666671,1.6145833333333333,0.0042250000000000005,0.04532500000000001,154.6375,27.544422639647546,0.0,토마토(10kg),대전광역시,오정도매,29000.0
202,2013-01-14,7,2013,0.009587500000000004,1.3737499999999998,0.009637500000000002,0.04430833333333335,115.99583333333332,33.04139702561911,4.5,토마토(10kg),대전광역시,오정도매,30000.0
217,2013-01-15,7,2013,0.009283333333333338,1.2525,0.008516666666666667,0.05055833333333334,98.15,34.78779965895809,7.5,토마토(10kg),대전광역시,오정도매,30000.0
232,2013-01-16,7,2013,0.007475000000000002,1.0204166666666663,0.007833333333333335,0.0428125,86.55833333333334,51.39783612386224,0.0,토마토(10kg),대전광역시,오정도매,30000.0
247,2013-01-17,7,2013,0.009000000000000005,0.7220833333333332,0.02429166666666668,0.023395833333333338,83.21666666666667,44.38182716474781,3.5,토마토(10kg),대전광역시,오정도매,30000.0
262,2013-01-18,7,2013,0.006008333333333336,0.77125,0.01161666666666667,0.03569583333333335,59.2,50.17313139832863,8.9,토마토(10kg),대전광역시,오정도매,30000.0
277,2013-01-19,7,2013,0.007495833333333336,0.8970833333333333,0.009066666666666666,0.03773750000000002,63.57916666666666,43.68886518075281,4.6,토마토(10kg),대전광역시,오정도매,30000.0
292,2013-01-20,7,2013,0.008420833333333337,1.0020833333333337,0.013883333333333336,0.033250000000000016,89.80833333333334,42.5601170436056,4.7,토마토(10kg),대전광역시,오정도매,30000.0
307,2013-01-21,7,2013,0.004429166666666669,0.6995833333333333,0.012366666666666668,0.031175000000000005,21.2875,40.25792837636008,0.0,토마토(10kg),대전광역시,오정도매,30000.0
322,2013-01-22,7,2013,0.0043125,0.7483333333333334,0.003050000000000001,0.03249583333333335,22.891666666666666,29.741127539229847,0.0,토마토(10kg),대전광역시,오정도매,35000.0
337,2013-01-23,7,2013,0.003629166666666668,0.7041666666666667,0.008833333333333334,0.02868750000000001,26.84583333333333,22.260148494435416,0.0,토마토(10kg),대전광역시,오정도매,35000.0
352,2013-01-24,7,2013,0.0055291666666666675,0.5741666666666666,0.020150000000000008,0.02230000000000001,53.45416666666665,19.870218099837942,0.2,토마토(10kg),대전광역시,오정도매,35000.0
367,2013-01-25,7,2013,0.0027500000000000016,0.2425,0.02869166666666668,0.012725000000000005,29.054166666666664,23.081062469219088,9.4,토마토(10kg),대전광역시,오정도매,38000.0
382,2013-01-26,7,2013,0.003516666666666668,0.2979166666666667,0.025354166666666685,0.01540000000000001,26.795833333333334,28.706286032340635,9.4,토마토(10kg),대전광역시,오정도매,38000.0
