,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
13,2013-01-01,13,2013,0.008563492063492066,0.5186507936507937,0.019059523809523814,0.02559722222222224,71.46031746031747,31.543635180056402,8.0,토마토(10kg),부산광역시,엄궁도매,28000.0
28,2013-01-02,13,2013,0.008269841269841273,0.4172619047619048,0.024412698412698424,0.01749801587301588,72.7837301587302,37.60290553239039,8.2,토마토(10kg),부산광역시,엄궁도매,28000.0
43,2013-01-03,13,2013,0.0039742063492063506,0.2976190476190476,0.027811507936507957,0.01341269841269842,20.950396825396822,35.062375427463735,7.7,토마토(10kg),부산광역시,엄궁도매,28000.0
58,2013-01-04,13,2013,0.00498809523809524,0.4212301587301588,0.016005952380952385,0.0305952380952381,34.025793650793645,37.74911017233747,9.3,토마토(10kg),부산광역시,엄궁도매,28000.0
73,2013-01-05,13,2013,0.005000000000000003,0.4172619047619047,0.019817460317460324,0.027456349206349217,32.16269841269841,33.37877094633037,8.7,토마토(10kg),부산광역시,엄궁도매,28000.0
88,2013-01-06,13,2013,0.007613095238095241,0.5452380952380952,0.020069444444444445,0.02663690476190477,53.80357142857143,23.495792552184987,8.3,토마토(10kg),부산광역시,엄궁도매,28000.0
103,2013-01-07,13,2013,0.0056567460317460344,0.4734126984126984,0.01518650793650794,0.03443253968253969,41.57539682539682,30.667985278716635,9.3,토마토(10kg),부산광역시,엄궁도매,28000.0
118,2013-01-08,13,2013,0.00712698412698413,0.4910714285714286,0.01800793650793651,0.03152380952380953,56.970238095238095,27.463893572442583,9.1,토마토(10kg),부산광역시,엄궁도매,28000.0
133,2013-01-09,13,2013,0.006621031746031746,0.4156746031746033,0.02737896825396826,0.01927777777777779,47.66666666666667,27.224863819708208,9.0,토마토(10kg),부산광역시,엄궁도매,28000.0
148,2013-01-10,13,2013,0.0045873015873015895,0.36686507936507934,0.02478373015873017,0.01882936507936508,26.257936507936506,20.465040083176973,9.4,토마토(10kg),부산광역시,엄궁도매,28000.0
163,2013-01-11,13,2013,0.0066130952380952426,0.5132936507936507,0.013091269841269845,0.03748015873015874,47.23214285714286,18.67617297031125,9.2,토마토(10kg),부산광역시,엄궁도매,28000.0
178,2013-01-12,13,2013,0.008884920634920641,0.6706349206349205,0.01429166666666667,0.0425277777777778,60.67857142857142,21.76005011006152,9.2,토마토(10kg),부산광역시,엄궁도매,28000.0
193,2013-01-13,13,2013,0.0073948412698412735,0.6158730158730157,0.016781746031746037,0.03332738095238096,82.82738095238095,27.544422639647557,0.5,토마토(10kg),부산광역시,엄궁도매,28000.0
208,2013-01-14,13,2013,0.008517857142857145,0.6091269841269842,0.02629365079365081,0.02548611111111112,91.13293650793649,33.041397025619105,8.9,토마토(10kg),부산광역시,엄궁도매,28000.0
223,2013-01-15,13,2013,0.007936507936507941,0.6303571428571428,0.01725396825396826,0.03598809523809525,85.57738095238093,34.78779965895809,8.6,토마토(10kg),부산광역시,엄궁도매,28000.0
238,2013-01-16,13,2013,0.006956349206349209,0.5684523809523809,0.02246626984126985,0.03242261904761906,79.38293650793649,51.39783612386224,8.5,토마토(10kg),부산광역시,엄궁도매,28000.0
253,2013-01-17,13,2013,0.006226190476190479,0.5162698412698412,0.025446428571428585,0.022505952380952397,72.29761904761907,44.38182716474782,6.5,토마토(10kg),부산광역시,엄궁도매,26000.0
268,2013-01-18,13,2013,0.006273809523809525,0.5230158730158729,0.020492063492063502,0.03138690476190477,73.0138888888889,50.173131398328636,9.6,토마토(10kg),부산광역시,엄궁도매,26000.0
283,2013-01-19,13,2013,0.005710317460317462,0.4555555555555556,0.02112103174603175,0.029194444444444464,49.62896825396826,43.68886518075281,9.1,토마토(10kg),부산광역시,엄궁도매,26666.66666666667
298,2013-01-20,13,2013,0.007517857142857146,0.6150793650793649,0.018341269841269842,0.03387103174603175,79.02182539682539,42.5601170436056,4.6,토마토(10kg),부산광역시,엄궁도매,27333.33333333333
313,2013-01-21,13,2013,0.0050039682539682545,0.4984126984126983,0.017886904761904764,0.029718253968253974,42.595238095238095,40.25792837636007,0.0,토마토(10kg),부산광역시,엄궁도매,28000.0
328,2013-01-22,13,2013,0.0042380952380952405,0.4460317460317461,0.01756944444444445,0.024537698412698417,29.690476190476183,29.74112753922985,0.1,토마토(10kg),부산광역시,엄궁도매,28000.0
343,2013-01-23,13,2013,0.005158730158730161,0.41825396825396827,0.02299007936507938,0.024730158730158745,35.47619047619047,22.260148494435423,0.4,토마토(10kg),부산광역시,엄궁도매,30000.0
358,2013-01-24,13,2013,0.0070813492063492075,0.5438492063492063,0.024704365079365083,0.02147420634920636,61.48214285714287,19.87021809983793,5.8,토마토(10kg),부산광역시,엄궁도매,30000.0
373,2013-01-25,13,2013,0.0046388888888888894,0.29940476190476195,0.029724206349206368,0.01551587301587302,27.950396825396822,23.081062469219088,9.8,토마토(10kg),부산광역시,엄궁도매,32000.0
388,2013-01-26,13,2013,0.00491468253968254,0.3222222222222222,0.028569444444444463,0.01673412698412699,24.41468253968254,28.70628603234063,9.7,토마토(10kg),부산광역시,엄궁도매,32000.0
403,2013-01-27,13,2013,0.004095238095238097,0.2978174603174604,0.03164087301587303,0.012448412698412709,23.43650793650793,29.59403302400575,9.9,토마토(10kg),부산광역시,엄궁도매,32000.0
418,2013-01-28,13,2013,0.005398809523809526,0.3696428571428572,0.02203769841269842,0.025128968253968258,34.49007936507936,24.209899745287657,9.9,토마토(10kg),부산광역시,엄궁도매,32000.0
