,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
3,2013-01-01,3,2013,0.005740625,0.6581249999999998,0.008458333333333335,0.043540625,38.334375,31.543635180056388,4.6,토마토(10kg),서울특별시,가락도매,29000.0
18,2013-01-02,3,2013,0.00495,0.4030208333333333,0.024425000000000013,0.021412500000000008,18.644791666666674,37.6029055323904,9.1,토마토(10kg),서울특별시,가락도매,29000.0
33,2013-01-03,3,2013,0.006395833333333337,0.5123958333333333,0.018154166666666676,0.028390625000000013,29.74375,35.06237542746377,9.1,토마토(10kg),서울특별시,가락도매,30000.0
48,2013-01-04,3,2013,0.007002083333333337,0.7380208333333333,0.008472916666666674,0.047785416666666684,45.38333333333333,37.74911017233746,9.2,토마토(10kg),서울특별시,가락도매,30000.0
63,2013-01-05,3,2013,0.007672916666666669,1.020625,0.003944791666666668,0.06513645833333337,62.27083333333335,33.378770946330384,7.5,토마토(10kg),서울특별시,가락도매,30000.0
78,2013-01-06,3,2013,0.009809375000000002,1.1389583333333333,0.00847291666666667,0.05500729166666668,86.82708333333332,23.495792552184984,8.2,토마토(10kg),서울특별시,가락도매,30000.0
93,2013-01-07,3,2013,0.008350000000000002,1.0947916666666664,0.006365625000000002,0.06266354166666667,74.41458333333334,30.66798527871665,5.8,토마토(10kg),서울특별시,가락도매,30000.0
108,2013-01-08,3,2013,0.009403125000000002,1.0913541666666666,0.010589583333333336,0.05573541666666665,69.85208333333334,27.46389357244257,8.0,토마토(10kg),서울특별시,가락도매,27000.0
123,2013-01-09,3,2013,0.0064885416666666685,0.5175000000000002,0.019678125000000008,0.03163645833333334,33.47916666666667,27.22486381970819,9.3,토마토(10kg),서울특별시,가락도매,27000.0
138,2013-01-10,3,2013,0.00756041666666667,0.7065625,0.011362500000000005,0.046037500000000016,41.328125,20.465040083176973,9.1,토마토(10kg),서울특별시,가락도매,27000.0
153,2013-01-11,3,2013,0.008053125000000005,0.9685416666666667,0.003438541666666666,0.06251562500000002,56.13437500000001,18.676172970311235,6.1,토마토(10kg),서울특별시,가락도매,27000.0
168,2013-01-12,3,2013,0.012138541666666672,1.156979166666667,0.003912500000000001,0.058364583333333366,113.74270833333333,21.760050110061535,3.2,토마토(10kg),서울특별시,가락도매,26333.33333333333
183,2013-01-13,3,2013,0.011047916666666676,1.6608333333333338,0.003965625,0.05897395833333336,158.478125,27.54442263964756,0.6,토마토(10kg),서울특별시,가락도매,25666.66666666667
198,2013-01-14,3,2013,0.009680208333333338,1.4118750000000002,0.008814583333333334,0.057915624999999984,122.16249999999998,33.04139702561909,4.5,토마토(10kg),서울특별시,가락도매,25000.0
213,2013-01-15,3,2013,0.011345833333333338,1.3565625,0.004678125000000003,0.06744895833333334,116.821875,34.787799658958114,4.1,토마토(10kg),서울특별시,가락도매,25000.0
228,2013-01-16,3,2013,0.009828125000000007,1.1112500000000003,0.008833333333333339,0.057442708333333335,96.4104166666667,51.39783612386219,4.0,토마토(10kg),서울특별시,가락도매,28000.0
243,2013-01-17,3,2013,0.011286458333333341,1.0584374999999997,0.01445833333333334,0.04393125000000002,112.55416666666667,44.38182716474783,7.3,토마토(10kg),서울특별시,가락도매,28000.0
258,2013-01-18,3,2013,0.007293750000000006,0.8006249999999999,0.009765625000000002,0.054092708333333364,56.37291666666666,50.17313139832866,9.3,토마토(10kg),서울특별시,가락도매,28000.0
273,2013-01-19,3,2013,0.01264791666666667,1.0377083333333332,0.006805208333333336,0.06225729166666667,79.69166666666666,43.68886518075282,6.5,토마토(10kg),서울특별시,가락도매,28666.66666666667
288,2013-01-20,3,2013,0.01204895833333334,1.1451041666666666,0.007917708333333334,0.05715520833333334,106.65416666666668,42.56011704360556,0.4,토마토(10kg),서울특별시,가락도매,29333.33333333333
303,2013-01-21,3,2013,0.005166666666666668,0.7252083333333331,0.008491666666666668,0.04486979166666668,30.12604166666666,40.257928376360056,0.0,토마토(10kg),서울특별시,가락도매,30000.0
318,2013-01-22,3,2013,0.004410416666666668,0.6218750000000001,0.00997604166666667,0.04197604166666667,14.711458333333335,29.741127539229854,0.0,토마토(10kg),서울특별시,가락도매,30000.0
333,2013-01-23,3,2013,0.004378125000000003,0.6046875,0.012879166666666672,0.039615625,31.70208333333332,22.26014849443541,0.0,토마토(10kg),서울특별시,가락도매,30000.0
348,2013-01-24,3,2013,0.00916041666666667,0.7545833333333334,0.019704166666666682,0.03425416666666667,62.80416666666669,19.87021809983795,2.4,토마토(10kg),서울특별시,가락도매,35000.0
363,2013-01-25,3,2013,0.004276041666666668,0.3561458333333335,0.02475208333333334,0.02124062500000001,27.728125,23.081062469219088,9.5,토마토(10kg),서울특별시,가락도매,35000.0
378,2013-01-26,3,2013,0.00537916666666667,0.41760416666666667,0.02337187500000001,0.02319166666666668,29.36145833333333,28.706286032340607,9.6,토마토(10kg),서울특별시,가락도매,35000.0
393,2013-01-27,3,2013,0.004730208333333335,0.4964583333333333,0.022238541666666674,0.028051041666666682,33.08333333333333,29.594033024005746,9.5,토마토(10kg),서울특별시,가락도매,35000.0
408,2013-01-28,3,2013,0.0059062500000000035,0.7996875000000001,0.0068312500000000005,0.052208333333333336,52.51979166666665,24.209899745287657,3.7,토마토(10kg),서울특별시,가락도매,35000.0
423,2013-01-29,3,2013,0.0068593750000000035,0.9502083333333332,0.002733333333333334,0.05721562500000001,69.98229166666667,20.97142387483635,0.0,토마토(10kg),서울특별시,가락도매,38000.0
438,2013-01-30,3,2013,0.00714479166666667,1.140520833333333,0.002595833333333334,0.06278958333333337,76.73750000000003,22.985396595509425,0.7,토마토(10kg),서울특별시,가락도매,38000.0
453,2013-01-31,3,2013,0.007234375000000003,1.0157291666666668,0.0064375000000000005,0.06255625,77.90937499999998,23.572745175207025,6.4,토마토(10kg),서울특별시,가락도매,38000.0
468,2013-02-01,3,2013,0.0049020833333333355,0.7816666666666667,0.009305208333333335,0.048746875,35.814583333333346,22.287017052681023,0.0,토마토(10kg),서울특별시,가락도매,38000.0
483,2013-02-02,3,2013,0.0046354166666666705,0.4642708333333334,0.02063541666666668,0.02585000000000002,36.310416666666654,24.540584111789233,9.4,토마토(10kg),서울특별시,가락도매,38000.0
498,2013-02-03,3,2013,0.003916666666666669,0.5179166666666666,0.011137500000000005,0.034881250000000016,27.44270833333333,28.69537083806497,0.2,토마토(10kg),서울특별시,가락도매,38000.0
513,2013-02-04,3,2013,0.004390625,0.5861458333333334,0.01581666666666667,0.03684166666666668,29.999999999999996,37.238099051573435,6.1,토마토(10kg),서울특별시,가락도매,38000.0
528,2013-02-05,3,2013,0.005861458333333335,0.9935416666666664,0.004481250000000001,0.057953125000000015,57.739583333333314,29.90086062785448,0.0,토마토(10kg),서울특별시,가락도매,38000.0
543,2013-02-06,3,2013,0.0063947916666666675,0.7401041666666668,0.018290625,0.040677083333333336,51.75937500000001,23.492542625133506,5.8,토마토(10kg),서울특별시,가락도매,38000.0
558,2013-02-07,3,2013,0.005429166666666671,0.3984375,0.02538541666666668,0.020090625000000008,33.80416666666667,25.13365953875908,9.8,토마토(10kg),서울특별시,가락도매,38000.0
573,2013-02-08,3,2013,0.005373958333333336,0.5199999999999999,0.01601354166666667,0.03378020833333334,40.58854166666666,32.38522966581817,9.3,토마토(10kg),서울특별시,가락도매,38000.0
588,2013-02-09,3,2013,0.006043750000000002,0.7302083333333333,0.014633333333333337,0.04442604166666668,49.35625,31.093288075775256,8.9,토마토(10kg),서울특별시,가락도매,38000.0
603,2013-02-10,3,2013,0.007129166666666667,0.6817708333333335,0.019526041666666667,0.03712916666666667,47.18437499999999,31.287456867240945,8.6,토마토(10kg),서울특별시,가락도매,38000.0
618,2013-02-11,3,2013,0.006107291666666671,0.5134374999999998,0.020183333333333345,0.033121875,30.23645833333333,22.181906680183967,9.7,토마토(10kg),서울특별시,가락도매,38000.0
633,2013-02-12,3,2013,0.005598958333333336,0.6628125000000001,0.01241354166666667,0.047032291666666684,36.71770833333333,18.221981923193397,0.2,토마토(10kg),서울특별시,가락도매,38000.0
648,2013-02-13,3,2013,0.007057291666666669,0.7833333333333334,0.01385104166666667,0.05017083333333335,52.17083333333333,19.933405724898087,9.3,토마토(10kg),서울특별시,가락도매,38000.0
663,2013-02-14,3,2013,0.007403125000000006,0.9680208333333328,0.009020833333333336,0.06097291666666664,72.97604166666666,29.795514776652432,7.4,토마토(10kg),서울특별시,가락도매,38000.0
678,2013-02-15,3,2013,0.005681250000000002,0.5637500000000002,0.020955208333333347,0.033089583333333346,51.00729166666666,30.262980878075517,9.7,토마토(10kg),서울특별시,가락도매,38000.0
693,2013-02-16,3,2013,0.008066666666666666,0.6040625,0.015851041666666676,0.043706250000000016,40.19479166666667,26.81621916743176,9.6,토마토(10kg),서울특별시,가락도매,38000.0
708,2013-02-17,3,2013,0.007365625000000003,0.7059374999999999,0.008232291666666672,0.054905208333333344,46.06875,18.994665879145977,3.6,토마토(10kg),서울특별시,가락도매,38000.0
723,2013-02-18,3,2013,0.005806250000000002,0.5677083333333333,0.017005208333333344,0.036458333333333336,48.24583333333334,21.25956062304204,5.7,토마토(10kg),서울특별시,가락도매,38000.0
738,2013-02-19,3,2013,0.004767708333333335,0.37875,0.02693437500000001,0.02380729166666668,33.153125,36.972827645605996,9.6,토마토(10kg),서울특별시,가락도매,38000.0
753,2013-02-20,3,2013,0.006628125000000003,0.4812499999999998,0.021703125000000014,0.031062500000000017,33.60833333333333,34.340270376764934,9.5,토마토(10kg),서울특별시,가락도매,40000.0
768,2013-02-21,3,2013,0.006381250000000001,0.5563541666666667,0.018461458333333337,0.04051354166666668,38.428125,20.341237083208316,9.0,토마토(10kg),서울특별시,가락도매,40000.0
783,2013-02-22,3,2013,0.007541666666666669,0.6401041666666668,0.019356250000000002,0.040354166666666684,63.58958333333335,26.088932866143153,7.4,토마토(10kg),서울특별시,가락도매,37000.0
798,2013-02-23,3,2013,0.006696875000000005,0.4811458333333334,0.02480729166666667,0.03192083333333335,39.765625,41.12788866744632,9.7,토마토(10kg),서울특별시,가락도매,37000.0
813,2013-02-24,3,2013,0.007164583333333338,0.6703125000000003,0.017814583333333342,0.040117708333333335,47.85208333333333,33.53953159625128,8.8,토마토(10kg),서울특별시,가락도매,37000.0
828,2013-02-25,3,2013,0.006786458333333335,0.8557291666666667,0.007737500000000005,0.05955520833333335,52.50624999999999,30.71587754306473,6.2,토마토(10kg),서울특별시,가락도매,37000.0
843,2013-02-26,3,2013,0.00746666666666667,0.8620833333333335,0.005879166666666668,0.06244375000000001,64.24687500000002,35.892142129924494,0.0,토마토(10kg),서울특별시,가락도매,37000.0
858,2013-02-27,3,2013,0.006409375000000003,0.6689583333333332,0.014916666666666672,0.045408333333333335,73.53125,40.44747690367011,7.0,토마토(10kg),서울특별시,가락도매,37000.0
873,2013-02-28,3,2013,0.00722916666666667,0.8454166666666667,0.011383333333333332,0.059632291666666684,84.13854166666667,35.729282681385925,6.7,토마토(10kg),서울특별시,가락도매,37000.0
888,2013-03-01,3,2013,0.0049291666666666685,0.4130208333333333,0.03261041666666668,0.02129375000000001,52.96249999999999,28.926879746357823,9.1,토마토(10kg),서울특별시,가락도매,37000.0
903,2013-03-02,3,2013,0.004507291666666668,0.4041666666666667,0.02971770833333335,0.02502187500000001,36.675,25.174213904999327,9.7,토마토(10kg),서울특별시,가락도매,37000.0
918,2013-03-03,3,2013,0.005708333333333336,0.4962499999999999,0.023375000000000003,0.03055104166666668,39.45,26.09403648411737,10.4,토마토(10kg),서울특별시,가락도매,37000.0
933,2013-03-04,3,2013,0.008626041666666669,0.7484375000000001,0.01630312500000001,0.04668750000000002,73.55937499999997,27.49947083219091,5.8,토마토(10kg),서울특별시,가락도매,37000.0
948,2013-03-05,3,2013,0.00948229166666667,0.8716666666666667,0.01834687500000001,0.050775,87.29166666666666,21.790081769372925,10.7,토마토(10kg),서울특별시,가락도매,37000.0
963,2013-03-06,3,2013,0.008671875,0.9242708333333336,0.009757291666666671,0.06674062500000001,85.984375,21.718958855023548,6.9,토마토(10kg),서울특별시,가락도매,37000.0
978,2013-03-07,3,2013,0.0060916666666666714,0.7832291666666666,0.02275520833333333,0.05397291666666667,132.78124999999997,20.833634437415668,2.2,토마토(10kg),서울특별시,가락도매,37000.0
993,2013-03-08,3,2013,0.007695833333333334,0.9194791666666668,0.017648958333333332,0.05704270833333334,142.64687499999997,23.279401938237253,6.1,토마토(10kg),서울특별시,가락도매,37000.0
1008,2013-03-09,3,2013,0.00904375,0.9763541666666667,0.031006250000000006,0.05499479166666667,149.33958333333334,28.466716171186338,9.4,토마토(10kg),서울특별시,가락도매,37000.0
1023,2013-03-10,3,2013,0.0042239583333333365,0.3498958333333334,0.033714583333333346,0.01784687500000001,46.66562500000001,24.61820719445393,11.2,토마토(10kg),서울특별시,가락도매,37000.0
1038,2013-03-11,3,2013,0.005120833333333335,0.5637500000000001,0.016453125000000006,0.04513958333333333,49.24166666666666,33.445086713408486,11.2,토마토(10kg),서울특별시,가락도매,37000.0
1053,2013-03-12,3,2013,0.0070625000000000045,0.8509374999999999,0.007298958333333334,0.06628749999999999,64.203125,45.14511520856143,3.0,토마토(10kg),서울특별시,가락도매,30000.0
1068,2013-03-13,3,2013,0.004300000000000003,0.44354166666666667,0.02263541666666667,0.03226875000000002,27.066666666666666,37.714912464226906,5.7,토마토(10kg),서울특별시,가락도매,30000.0
1083,2013-03-14,3,2013,0.004642708333333335,0.4247916666666667,0.02252500000000001,0.03549062500000001,25.41354166666667,27.66178963329489,9.3,토마토(10kg),서울특별시,가락도매,32000.0
1098,2013-03-15,3,2013,0.007372916666666669,0.5944791666666667,0.015658333333333337,0.05128229166666668,52.41666666666667,24.9157810459136,10.7,토마토(10kg),서울특별시,가락도매,32000.0
1113,2013-03-16,3,2013,0.006617708333333336,0.5608333333333333,0.015696875,0.04954583333333333,44.53229166666666,28.006086795833074,10.8,토마토(10kg),서울특별시,가락도매,32333.33333333333
1128,2013-03-17,3,2013,0.006578125000000002,0.6296875000000004,0.014698958333333338,0.047811458333333334,53.58333333333333,36.070086688391406,7.2,토마토(10kg),서울특별시,가락도매,32666.66666666667
1143,2013-03-18,3,2013,0.004488541666666668,0.4507291666666666,0.019179166666666667,0.035837500000000015,29.76875,39.35207190779117,9.3,토마토(10kg),서울특별시,가락도매,33000.0
1158,2013-03-19,3,2013,0.005370833333333334,0.5503125000000001,0.013235416666666671,0.04009687500000002,48.68125,32.109688489506716,3.2,토마토(10kg),서울특별시,가락도매,33000.0
1173,2013-03-20,3,2013,0.004107291666666669,0.3887499999999999,0.025001041666666675,0.02343645833333334,29.80520833333333,32.68869533691079,5.6,토마토(10kg),서울특별시,가락도매,33000.0
1188,2013-03-21,3,2013,0.006936458333333335,0.5104166666666667,0.016977083333333344,0.03973958333333335,41.99062500000001,28.53068510890775,11.2,토마토(10kg),서울특별시,가락도매,33000.0
1203,2013-03-22,3,2013,0.0067656250000000025,0.6242708333333332,0.0100375,0.050648958333333334,49.63020833333334,31.306427596985788,0.7,토마토(10kg),서울특별시,가락도매,33000.0
1218,2013-03-23,3,2013,0.0060677083333333355,0.5502083333333333,0.015388541666666675,0.04809583333333335,62.515625,36.57548737532829,11.2,토마토(10kg),서울특별시,가락도매,33000.0
1233,2013-03-24,3,2013,0.005977083333333337,0.4268749999999999,0.03348645833333335,0.027533333333333337,45.35312499999999,42.63592074262663,11.0,토마토(10kg),서울특별시,가락도매,33000.0
1248,2013-03-25,3,2013,0.004532291666666669,0.4046875,0.029154166666666675,0.02369270833333334,41.35520833333333,47.494550056548185,11.5,토마토(10kg),서울특별시,가락도매,33000.0
1263,2013-03-26,3,2013,0.006014583333333335,0.5328125,0.015104166666666675,0.04510520833333336,44.78958333333333,39.85295098490564,11.5,토마토(10kg),서울특별시,가락도매,33000.0
1278,2013-03-27,3,2013,0.006877083333333339,0.6195833333333334,0.013690625,0.05391979166666666,42.277083333333344,44.75254585150445,11.4,토마토(10kg),서울특별시,가락도매,33000.0
1293,2013-03-28,3,2013,0.005675000000000003,0.4961458333333334,0.016176041666666675,0.04443645833333335,40.864583333333336,39.3656158640675,4.0,토마토(10kg),서울특별시,가락도매,33000.0
1308,2013-03-29,3,2013,0.005125000000000003,0.4183333333333333,0.02932395833333335,0.027368750000000004,41.265625,38.112026566486676,11.7,토마토(10kg),서울특별시,가락도매,35000.0
1323,2013-03-30,3,2013,0.005521875000000004,0.4820833333333334,0.02744583333333336,0.033634375000000015,44.875,38.186644305464384,3.4,토마토(10kg),서울특별시,가락도매,36666.66666666666
1338,2013-03-31,3,2013,0.00569166666666667,0.531875,0.02552395833333334,0.036595833333333334,47.84895833333333,36.524761351662704,11.2,토마토(10kg),서울특별시,가락도매,38333.333333333336
1353,2013-04-01,3,2013,0.006548958333333338,0.6993750000000001,0.01578541666666667,0.059520833333333335,68.36354166666663,31.39528097511881,0.9,토마토(10kg),서울특별시,가락도매,40000.0
1368,2013-04-02,3,2013,0.003934375000000002,0.5718749999999999,0.015497916666666669,0.043244791666666685,32.25520833333333,30.334138741270547,0.6,토마토(10kg),서울특별시,가락도매,38000.0
1383,2013-04-03,3,2013,0.006570833333333333,0.6930208333333334,0.021152083333333332,0.04656666666666669,58.68645833333333,29.69609410335018,8.7,토마토(10kg),서울특별시,가락도매,32000.0
1398,2013-04-04,3,2013,0.01001979166666667,0.8655208333333334,0.02103645833333333,0.07077291666666666,111.84270833333332,21.2195448996323,10.7,토마토(10kg),서울특별시,가락도매,32000.0
1413,2013-04-05,3,2013,0.009517708333333338,0.9778125,0.02230729166666667,0.07817812499999999,154.6427083333334,17.40819869594834,2.1,토마토(10kg),서울특별시,가락도매,30000.0
1428,2013-04-06,3,2013,0.0046656250000000005,0.6439583333333332,0.029159375000000005,0.03532604166666667,60.77187500000001,23.89259488222661,0.0,토마토(10kg),서울특별시,가락도매,30000.0
1443,2013-04-07,3,2013,0.004054166666666668,0.3669791666666667,0.034486458333333345,0.02137708333333334,21.064583333333328,22.184482095788752,10.6,토마토(10kg),서울특별시,가락도매,30000.0
1458,2013-04-08,3,2013,0.006400000000000001,0.4941666666666668,0.030241666666666674,0.036281250000000015,47.56458333333335,25.44813711300353,7.5,토마토(10kg),서울특별시,가락도매,30000.0
1473,2013-04-09,3,2013,0.005197916666666668,0.4380208333333333,0.028667708333333358,0.025969791666666683,58.51979166666668,32.957992888158806,10.2,토마토(10kg),서울특별시,가락도매,30000.0
1488,2013-04-10,3,2013,0.004357291666666667,0.4114583333333335,0.02948020833333333,0.027106250000000016,30.768750000000004,27.153246920460482,8.6,토마토(10kg),서울특별시,가락도매,30000.0
