,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
10,2013-01-01,10,2013,0.010050000000000005,0.6397222222222222,0.018030555555555564,0.02422222222222224,57.13333333333333,31.543635180056402,7.2,토마토(10kg),울산광역시,엄궁도매,28000.0
25,2013-01-02,10,2013,0.008697222222222224,0.5611111111111112,0.02435000000000001,0.01932777777777779,61.511111111111106,37.60290553239036,8.2,토마토(10kg),울산광역시,엄궁도매,28000.0
40,2013-01-03,10,2013,0.004838888888888893,0.3597222222222223,0.027127777777777792,0.016427777777777784,21.75833333333333,35.062375427463735,8.1,토마토(10kg),울산광역시,엄궁도매,28000.0
55,2013-01-04,10,2013,0.005550000000000001,0.45,0.019602777777777785,0.026466666666666677,31.38333333333333,37.74911017233747,8.7,토마토(10kg),울산광역시,엄궁도매,28000.0
70,2013-01-05,10,2013,0.005711111111111114,0.5449999999999999,0.021516666666666674,0.0262527777777778,30.372222222222227,33.37877094633036,8.3,토마토(10kg),울산광역시,엄궁도매,28000.0
85,2013-01-06,10,2013,0.009013888888888892,0.6769444444444443,0.022758333333333342,0.02501666666666668,50.89166666666667,23.495792552184987,6.7,토마토(10kg),울산광역시,엄궁도매,28000.0
100,2013-01-07,10,2013,0.006055555555555556,0.5836111111111112,0.02127777777777779,0.029647222222222224,37.59722222222221,30.667985278716632,8.7,토마토(10kg),울산광역시,엄궁도매,28000.0
115,2013-01-08,10,2013,0.008433333333333338,0.6580555555555557,0.020913888888888902,0.030886111111111125,60.077777777777776,27.463893572442583,8.4,토마토(10kg),울산광역시,엄궁도매,28000.0
130,2013-01-09,10,2013,0.006777777777777779,0.4947222222222222,0.026769444444444457,0.0213638888888889,44.39166666666667,27.224863819708208,8.3,토마토(10kg),울산광역시,엄궁도매,28000.0
145,2013-01-10,10,2013,0.004997222222222222,0.4377777777777778,0.026125000000000013,0.01823333333333334,20.566666666666666,20.465040083176973,8.8,토마토(10kg),울산광역시,엄궁도매,28000.0
160,2013-01-11,10,2013,0.009375000000000005,0.6786111111111109,0.013619444444444446,0.0373527777777778,48.08888888888888,18.67617297031125,8.4,토마토(10kg),울산광역시,엄궁도매,28000.0
175,2013-01-12,10,2013,0.008766666666666671,0.8791666666666667,0.015613888888888887,0.043875,60.922222222222224,21.76005011006152,8.5,토마토(10kg),울산광역시,엄궁도매,28000.0
190,2013-01-13,10,2013,0.00924444444444445,0.9408333333333332,0.017869444444444448,0.031425000000000015,96.76388888888891,27.54442263964755,0.1,토마토(10kg),울산광역시,엄궁도매,28000.0
205,2013-01-14,10,2013,0.011086111111111114,0.8663888888888888,0.02643055555555556,0.02758333333333334,92.63888888888887,33.04139702561911,8.2,토마토(10kg),울산광역시,엄궁도매,28000.0
220,2013-01-15,10,2013,0.010263888888888894,0.9658333333333337,0.014808333333333338,0.03920000000000001,93.65,34.78779965895809,7.5,토마토(10kg),울산광역시,엄궁도매,28000.0
235,2013-01-16,10,2013,0.008369444444444448,0.7913888888888887,0.020558333333333338,0.03573611111111112,74.66111111111111,51.39783612386224,7.4,토마토(10kg),울산광역시,엄궁도매,28000.0
250,2013-01-17,10,2013,0.007622222222222224,0.7252777777777778,0.029063888888888913,0.0208388888888889,69.53611111111111,44.38182716474781,4.1,토마토(10kg),울산광역시,엄궁도매,26000.0
265,2013-01-18,10,2013,0.007286111111111114,0.7469444444444444,0.02059166666666668,0.032841666666666686,74.6472222222222,50.173131398328636,9.0,토마토(10kg),울산광역시,엄궁도매,26000.0
280,2013-01-19,10,2013,0.00591388888888889,0.625,0.024361111111111115,0.02786944444444445,44.98333333333333,43.68886518075281,8.7,토마토(10kg),울산광역시,엄궁도매,26666.66666666667
