,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
14,2013-01-01,14,2013,0.01548671875,0.5265625,0.01701822916666667,0.019903645833333337,63.18749999999999,31.543635180056402,4.638461538461539,토마토(10kg),전라남도,각화도매,28000.0
29,2013-01-02,14,2013,0.008102343750000003,0.3796875,0.025664062500000008,0.00975260416666667,48.48437499999999,37.602905532390366,7.107692307692308,토마토(10kg),전라남도,각화도매,28000.0
44,2013-01-03,14,2013,0.003944010416666669,0.2458333333333333,0.02590104166666668,0.0067611979166666706,17.973958333333332,35.062375427463735,5.792307692307693,토마토(10kg),전라남도,각화도매,28000.0
59,2013-01-04,14,2013,0.0059377604166666684,0.4309895833333333,0.021619791666666683,0.01714583333333334,22.4921875,37.74911017233747,8.399999999999999,토마토(10kg),전라남도,각화도매,28000.0
74,2013-01-05,14,2013,0.0054859375,0.4432291666666666,0.023356770833333342,0.01509218750000001,22.890625,33.37877094633036,7.699999999999998,토마토(10kg),전라남도,각화도매,28000.0
89,2013-01-06,14,2013,0.010637500000000005,0.659375,0.022856770833333342,0.017086197916666674,49.72916666666668,23.495792552184987,7.092307692307692,토마토(10kg),전라남도,각화도매,28000.0
104,2013-01-07,14,2013,0.00902526041666667,0.6580729166666667,0.02029427083333334,0.02321927083333334,43.92708333333333,30.667985278716632,7.661538461538462,토마토(10kg),전라남도,각화도매,28000.0
119,2013-01-08,14,2013,0.010666145833333337,0.6432291666666665,0.01941145833333334,0.02323906250000001,52.27864583333334,27.463893572442583,8.546153846153848,토마토(10kg),전라남도,각화도매,28000.0
134,2013-01-09,14,2013,0.006830468750000002,0.4385416666666668,0.02696614583333335,0.01127630208333334,35.93750000000001,27.224863819708208,5.715384615384616,토마토(10kg),전라남도,각화도매,28000.0
149,2013-01-10,14,2013,0.005767187500000002,0.4216145833333334,0.02375260416666668,0.013235156250000005,22.875,20.465040083176973,8.46923076923077,토마토(10kg),전라남도,각화도매,28000.0
164,2013-01-11,14,2013,0.0093234375,0.7533854166666667,0.016236979166666672,0.02756979166666668,35.3125,18.67617297031125,8.407692307692308,토마토(10kg),전라남도,각화도매,28000.0
179,2013-01-12,14,2013,0.008058593750000004,0.7578124999999999,0.02126302083333333,0.02545546875,65.48177083333334,21.76005011006152,7.4,토마토(10kg),전라남도,각화도매,28000.0
194,2013-01-13,14,2013,0.008209895833333336,0.7552083333333334,0.018304687500000014,0.022838281250000002,80.06770833333333,27.54442263964755,0.007692307692307694,토마토(10kg),전라남도,각화도매,28000.0
209,2013-01-14,14,2013,0.010392968750000006,0.7432291666666666,0.02314583333333334,0.020530989583333343,82.74479166666667,33.04139702561911,7.276923076923077,토마토(10kg),전라남도,각화도매,28000.0
224,2013-01-15,14,2013,0.009139583333333336,0.7838541666666667,0.019169270833333342,0.02660807291666668,96.01302083333334,34.78779965895809,7.9923076923076914,토마토(10kg),전라남도,각화도매,28000.0
239,2013-01-16,14,2013,0.006529947916666668,0.5466145833333333,0.02382291666666668,0.01822578125000001,61.04166666666666,51.39783612386224,1.553846153846154,토마토(10kg),전라남도,각화도매,28000.0
254,2013-01-17,14,2013,0.006362239583333337,0.4705729166666667,0.03315104166666668,0.010690104166666669,61.22395833333333,44.38182716474781,4.946153846153846,토마토(10kg),전라남도,각화도매,28000.0
269,2013-01-18,14,2013,0.004963802083333334,0.39661458333333344,0.02816145833333335,0.015032031250000003,42.54427083333332,50.173131398328636,8.561538461538461,토마토(10kg),전라남도,각화도매,28000.0
284,2013-01-19,14,2013,0.005502604166666668,0.4338541666666666,0.027197916666666683,0.016063541666666674,42.78906250000001,43.68886518075281,4.592307692307692,토마토(10kg),전라남도,각화도매,28666.66666666667
299,2013-01-20,14,2013,0.008926822916666669,0.6335937500000001,0.023872395833333344,0.022014583333333344,77.9140625,42.5601170436056,4.7,토마토(10kg),전라남도,각화도매,29333.33333333333
314,2013-01-21,14,2013,0.006298177083333338,0.5281250000000001,0.01899479166666668,0.021990885416666675,29.7734375,40.25792837636008,0.0,토마토(10kg),전라남도,각화도매,30000.0
329,2013-01-22,14,2013,0.005067447916666671,0.4330729166666667,0.019442708333333343,0.014181770833333341,16.145833333333336,29.74112753922985,0.7230769230769231,토마토(10kg),전라남도,각화도매,30000.0
344,2013-01-23,14,2013,0.0041234375,0.4734375,0.021695312500000008,0.014996614583333338,21.481770833333336,22.260148494435423,0.06923076923076922,토마토(10kg),전라남도,각화도매,32000.0
359,2013-01-24,14,2013,0.008101302083333336,0.5822916666666667,0.02878385416666668,0.013631770833333338,58.86197916666666,19.87021809983793,0.25384615384615383,토마토(10kg),전라남도,각화도매,32000.0
374,2013-01-25,14,2013,0.00360703125,0.2890625,0.03201041666666669,0.006683593750000004,23.03125,23.081062469219088,7.8307692307692305,토마토(10kg),전라남도,각화도매,32000.0
389,2013-01-26,14,2013,0.0034971354166666692,0.2638020833333334,0.03149218750000001,0.006923177083333337,19.34635416666667,28.706286032340643,7.453846153846152,토마토(10kg),전라남도,각화도매,32000.0
404,2013-01-27,14,2013,0.0037617187500000016,0.2763020833333333,0.03177864583333335,0.006713541666666671,23.3125,29.59403302400575,4.976923076923077,토마토(10kg),전라남도,각화도매,32000.0
419,2013-01-28,14,2013,0.004732812500000003,0.37447916666666653,0.02637500000000001,0.013631770833333336,30.828125,24.209899745287657,9.176923076923076,토마토(10kg),전라남도,각화도매,32000.0
434,2013-01-29,14,2013,0.00793776041666667,0.5893229166666668,0.01630208333333334,0.029361458333333344,56.51302083333334,20.971423874836372,5.7846153846153845,토마토(10kg),전라남도,각화도매,32000.0
449,2013-01-30,14,2013,0.008999218750000003,0.64765625,0.014937500000000003,0.030401822916666682,54.11718750000001,22.98539659550941,8.723076923076924,토마토(10kg),전라남도,각화도매,32000.0
464,2013-01-31,14,2013,0.00999973958333334,0.6276041666666667,0.02136197916666667,0.025986718750000002,62.85937499999999,23.572745175207015,2.6,토마토(10kg),전라남도,각화도매,32000.0
479,2013-02-01,14,2013,0.006691927083333336,0.4864583333333333,0.025263020833333344,0.016485156250000004,23.38802083333333,22.287017052681037,0.0,토마토(10kg),전라남도,각화도매,32000.0
494,2013-02-02,14,2013,0.004464062500000001,0.31770833333333337,0.032434895833333345,0.008867708333333335,24.86458333333333,24.5405841117892,9.138461538461538,토마토(10kg),전라남도,각화도매,32000.0
509,2013-02-03,14,2013,0.007753385416666669,0.4643229166666666,0.0165234375,0.019301562500000008,23.94010416666667,28.695370838065,0.3846153846153847,토마토(10kg),전라남도,각화도매,32000.0
524,2013-02-04,14,2013,0.006943229166666669,0.5244791666666666,0.021705729166666674,0.016770572916666667,24.09895833333333,37.23809905157342,4.592307692307694,토마토(10kg),전라남도,각화도매,32000.0
539,2013-02-05,14,2013,0.007418489583333338,0.4994791666666667,0.02178645833333335,0.017717447916666674,35.346354166666664,29.900860627854467,0.007692307692307694,토마토(10kg),전라남도,각화도매,32000.0
554,2013-02-06,14,2013,0.004229166666666668,0.4541666666666666,0.029562500000000005,0.011449479166666672,23.9609375,23.492542625133485,2.3769230769230774,토마토(10kg),전라남도,각화도매,32000.0
569,2013-02-07,14,2013,0.004482291666666669,0.3460937500000001,0.031375000000000014,0.006833072916666671,26.77604166666666,25.1336595387591,3.2230769230769236,토마토(10kg),전라남도,각화도매,32000.0
584,2013-02-08,14,2013,0.006072395833333336,0.35598958333333336,0.026408854166666683,0.01076953125,23.08072916666667,32.38522966581819,6.730769230769232,토마토(10kg),전라남도,각화도매,32000.0
599,2013-02-09,14,2013,0.00483203125,0.3856770833333335,0.028494791666666682,0.011849479166666671,28.041666666666664,31.093288075775252,8.915384615384617,토마토(10kg),전라남도,각화도매,32000.0
614,2013-02-10,14,2013,0.0071656250000000045,0.4973958333333334,0.03352864583333335,0.010696875000000005,44.11197916666667,31.28745686724092,7.8307692307692305,토마토(10kg),전라남도,각화도매,32000.0
629,2013-02-11,14,2013,0.008981770833333336,0.5458333333333332,0.031466145833333355,0.015116666666666669,36.91145833333333,22.18190668018398,9.4,토마토(10kg),전라남도,각화도매,32000.0
644,2013-02-12,14,2013,0.007231510416666669,0.5744791666666665,0.021401041666666672,0.020074218750000004,33.5,18.22198192319339,0.8846153846153846,토마토(10kg),전라남도,각화도매,32000.0
659,2013-02-13,14,2013,0.0084359375,0.4705729166666667,0.02730989583333334,0.018232291666666674,37.880208333333336,19.933405724898087,9.384615384615383,토마토(10kg),전라남도,각화도매,32000.0
674,2013-02-14,14,2013,0.010789322916666668,0.6945312499999999,0.023807291666666668,0.026655729166666677,49.05729166666666,29.795514776652396,5.246153846153844,토마토(10kg),전라남도,각화도매,32000.0
689,2013-02-15,14,2013,0.005975000000000001,0.4351562500000001,0.03137239583333334,0.014912239583333337,48.67187499999999,30.262980878075552,9.069230769230767,토마토(10kg),전라남도,각화도매,32000.0
704,2013-02-16,14,2013,0.006707812500000001,0.4671875,0.02929166666666668,0.016182291666666668,24.859375000000004,26.816219167431765,9.876923076923076,토마토(10kg),전라남도,각화도매,32000.0
719,2013-02-17,14,2013,0.009020833333333336,0.6195312500000001,0.014593750000000006,0.02620052083333334,29.94270833333333,18.99466587914599,0.007692307692307694,토마토(10kg),전라남도,각화도매,32000.0
