,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
8,2013-01-01,8,2013,0.007624404761904764,0.5404761904761904,0.01789583333333334,0.018065476190476198,52.50892857142858,31.543635180056395,2.1727272727272724,토마토(10kg),전라북도,각화도매,28000.0
23,2013-01-02,8,2013,0.005554166666666667,0.4139880952380952,0.023273809523809537,0.013200892857142862,31.997023809523807,37.602905532390366,7.327272727272727,토마토(10kg),전라북도,각화도매,28000.0
38,2013-01-03,8,2013,0.004755952380952382,0.4720238095238096,0.01734226190476191,0.018638690476190482,31.55059523809524,35.062375427463735,7.8,토마토(10kg),전라북도,각화도매,28000.0
53,2013-01-04,8,2013,0.0045464285714285745,0.5994047619047619,0.012095238095238095,0.02693363095238096,43.20535714285715,37.74911017233746,8.609090909090908,토마토(10kg),전라북도,각화도매,28000.0
68,2013-01-05,8,2013,0.004468452380952383,0.5800595238095239,0.012312500000000004,0.02914285714285716,45.00297619047619,33.37877094633036,7.154545454545455,토마토(10kg),전라북도,각화도매,28000.0
83,2013-01-06,8,2013,0.006430654761904763,0.7479166666666667,0.014702380952380956,0.02698869047619049,67.39880952380953,23.495792552184987,6.6818181818181825,토마토(10kg),전라북도,각화도매,28000.0
98,2013-01-07,8,2013,0.006205059523809528,0.7931547619047621,0.014145833333333337,0.03083541666666668,69.54166666666666,30.667985278716632,7.6545454545454525,토마토(10kg),전라북도,각화도매,28000.0
113,2013-01-08,8,2013,0.007588095238095241,0.8023809523809523,0.012973214285714288,0.031155952380952395,72.19642857142857,27.463893572442583,8.30909090909091,토마토(10kg),전라북도,각화도매,28000.0
128,2013-01-09,8,2013,0.005902678571428574,0.5348214285714287,0.01977976190476191,0.02063065476190477,42.568452380952394,27.224863819708208,6.0,토마토(10kg),전라북도,각화도매,28000.0
143,2013-01-10,8,2013,0.0048723214285714325,0.5458333333333334,0.015705357142857146,0.02323452380952382,36.955357142857146,20.465040083176973,8.0,토마토(10kg),전라북도,각화도매,28000.0
158,2013-01-11,8,2013,0.005486607142857146,0.7744047619047618,0.0109702380952381,0.03311577380952382,60.660714285714285,18.67617297031125,7.800000000000002,토마토(10kg),전라북도,각화도매,28000.0
173,2013-01-12,8,2013,0.007960714285714288,0.9735119047619046,0.011508928571428573,0.033447023809523815,106.54761904761904,21.76005011006152,3.3090909090909086,토마토(10kg),전라북도,각화도매,28000.0
188,2013-01-13,8,2013,0.0063747023809523845,1.2779761904761904,0.008312500000000002,0.03139434523809525,160.80059523809524,27.544422639647546,0.027272727272727268,토마토(10kg),전라북도,각화도매,28000.0
203,2013-01-14,8,2013,0.008130059523809527,1.1193452380952382,0.011764880952380955,0.03199285714285715,130.88095238095238,33.04139702561911,5.727272727272728,토마토(10kg),전라북도,각화도매,28000.0
218,2013-01-15,8,2013,0.007930059523809527,1.0071428571428571,0.014452380952380953,0.03559761904761905,112.4345238095238,34.78779965895809,8.009090909090908,토마토(10kg),전라북도,각화도매,28000.0
233,2013-01-16,8,2013,0.00716696428571429,0.8154761904761906,0.014080357142857146,0.029993750000000013,95.01190476190473,51.39783612386224,0.2272727272727273,토마토(10kg),전라북도,각화도매,28000.0
248,2013-01-17,8,2013,0.009640476190476196,0.7014880952380952,0.02752678571428572,0.017936607142857146,84.88095238095238,44.38182716474781,2.9545454545454546,토마토(10kg),전라북도,각화도매,28000.0
263,2013-01-18,8,2013,0.006138690476190479,0.6282738095238096,0.015416666666666669,0.02696488095238096,65.74107142857143,50.173131398328636,7.9,토마토(10kg),전라북도,각화도매,28000.0
278,2013-01-19,8,2013,0.006752678571428574,0.6895833333333332,0.012964285714285716,0.028418750000000013,68.18749999999999,43.68886518075281,0.8,토마토(10kg),전라북도,각화도매,28666.66666666667
293,2013-01-20,8,2013,0.007756250000000002,0.8744047619047619,0.01559821428571429,0.0267827380952381,107.44940476190473,42.5601170436056,4.172727272727273,토마토(10kg),전라북도,각화도매,29333.33333333333
308,2013-01-21,8,2013,0.005482738095238096,0.6160714285714285,0.01489285714285715,0.02337767857142858,29.758928571428577,40.25792837636008,0.0,토마토(10kg),전라북도,각화도매,30000.0
323,2013-01-22,8,2013,0.0042449404761904785,0.6339285714285714,0.01264880952380953,0.022837202380952392,31.696428571428555,29.74112753922985,0.018181818181818184,토마토(10kg),전라북도,각화도매,30000.0
338,2013-01-23,8,2013,0.002905059523809525,0.612797619047619,0.013116071428571432,0.021208035714285724,37.24999999999999,22.26014849443542,0.0,토마토(10kg),전라북도,각화도매,32000.0
353,2013-01-24,8,2013,0.005869047619047618,0.6455357142857144,0.019133928571428573,0.017246428571428583,66.64285714285714,19.87021809983793,0.03636363636363637,토마토(10kg),전라북도,각화도매,32000.0
368,2013-01-25,8,2013,0.004417857142857145,0.31815476190476183,0.02602380952380953,0.01030416666666667,30.848214285714274,23.081062469219088,5.363636363636363,토마토(10kg),전라북도,각화도매,32000.0
383,2013-01-26,8,2013,0.00417261904761905,0.3294642857142857,0.025339285714285727,0.011010714285714287,25.46130952380952,28.706286032340643,7.754545454545454,토마토(10kg),전라북도,각화도매,32000.0
398,2013-01-27,8,2013,0.004410714285714286,0.4020833333333333,0.023505952380952384,0.012376190476190482,33.574404761904766,29.59403302400576,3.5727272727272723,토마토(10kg),전라북도,각화도매,32000.0
413,2013-01-28,8,2013,0.0038660714285714297,0.5315476190476189,0.01711011904761905,0.020593452380952386,48.401785714285715,24.209899745287657,7.290909090909091,토마토(10kg),전라북도,각화도매,32000.0
