,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
6,2013-01-01,6,2013,0.006072916666666668,0.5341666666666667,0.018620833333333343,0.01711833333333334,42.74166666666665,31.54363518005639,3.14,토마토(10kg),충청남도,오정도매,30000.0
21,2013-01-02,6,2013,0.004747916666666668,0.40125,0.02610000000000001,0.010241250000000004,20.629166666666674,37.602905532390366,6.12,토마토(10kg),충청남도,오정도매,30000.0
36,2013-01-03,6,2013,0.0046004166666666685,0.44375,0.02106250000000001,0.012955833333333337,21.291666666666668,35.062375427463735,8.559999999999999,토마토(10kg),충청남도,오정도매,30000.0
51,2013-01-04,6,2013,0.005572916666666669,0.6162500000000001,0.013441666666666671,0.02370000000000001,38.43749999999999,37.74911017233746,8.8,토마토(10kg),충청남도,오정도매,30000.0
66,2013-01-05,6,2013,0.005450000000000003,0.7358333333333336,0.012429166666666672,0.029807083333333345,44.87083333333334,33.37877094633036,6.819999999999999,토마토(10kg),충청남도,오정도매,30000.0
81,2013-01-06,6,2013,0.0075150000000000034,0.8666666666666666,0.01743333333333334,0.02375041666666668,58.73333333333333,23.495792552184987,7.7200000000000015,토마토(10kg),충청남도,오정도매,30000.0
96,2013-01-07,6,2013,0.0068087500000000006,0.8795833333333333,0.015225000000000006,0.028966666666666682,52.97083333333333,30.667985278716635,6.94,토마토(10kg),충청남도,오정도매,30000.0
111,2013-01-08,6,2013,0.007487916666666669,0.9258333333333332,0.016279166666666667,0.029869583333333345,59.84583333333333,27.46389357244258,7.94,토마토(10kg),충청남도,오정도매,30000.0
126,2013-01-09,6,2013,0.0048750000000000035,0.41,0.02627916666666668,0.012784166666666671,24.616666666666664,27.224863819708208,8.499999999999998,토마토(10kg),충청남도,오정도매,30000.0
141,2013-01-10,6,2013,0.0054300000000000025,0.4733333333333334,0.01726250000000001,0.018605833333333342,30.34583333333334,20.465040083176973,8.9,토마토(10kg),충청남도,오정도매,30000.0
156,2013-01-11,6,2013,0.004695000000000002,0.6145833333333334,0.01209166666666667,0.027445416666666684,43.91666666666667,18.676172970311246,7.2799999999999985,토마토(10kg),충청남도,오정도매,27000.0
171,2013-01-12,6,2013,0.01116125,1.0858333333333334,0.013487500000000005,0.03018291666666668,110.1583333333333,21.76005011006152,3.26,토마토(10kg),충청남도,오정도매,28000.0
186,2013-01-13,6,2013,0.008390416666666671,1.6008333333333329,0.008445833333333333,0.03400583333333335,152.15,27.544422639647546,0.0,토마토(10kg),충청남도,오정도매,29000.0
201,2013-01-14,6,2013,0.007913333333333333,1.09875,0.01959583333333333,0.025192916666666683,93.5125,33.04139702561911,3.9,토마토(10kg),충청남도,오정도매,30000.0
