,일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),품종명,도,마켓명,가격
5,2013-01-01,5,2013,0.008401515151515153,1.0125000000000002,0.010000000000000005,0.03261060606060607,62.75378787878788,31.54363518005639,1.65,토마토(10kg),충청북도,오정도매,30000.0
20,2013-01-02,5,2013,0.005045833333333336,0.4299242424242424,0.02459848484848486,0.020741287878787887,33.70833333333334,37.602905532390366,8.35,토마토(10kg),충청북도,오정도매,30000.0
35,2013-01-03,5,2013,0.005959848484848487,0.5863636363636364,0.015246212121212127,0.028290530303030317,39.7689393939394,35.062375427463735,8.5,토마토(10kg),충청북도,오정도매,30000.0
50,2013-01-04,5,2013,0.006841287878787882,0.9469696969696972,0.009435606060606064,0.042217803030303036,70.99621212121211,37.74911017233746,8.274999999999999,토마토(10kg),충청북도,오정도매,30000.0
65,2013-01-05,5,2013,0.008328030303030308,1.1814393939393941,0.00828409090909091,0.0486909090909091,88.26136363636364,33.37877094633036,7.55,토마토(10kg),충청북도,오정도매,30000.0
80,2013-01-06,5,2013,0.009714772727272732,1.2829545454545457,0.011181818181818185,0.041861363636363655,92.53030303030305,23.495792552184987,7.300000000000002,토마토(10kg),충청북도,오정도매,30000.0
95,2013-01-07,5,2013,0.009338636363636368,1.2893939393939395,0.00937121212121212,0.045390530303030314,96.25757575757576,30.667985278716632,5.85,토마토(10kg),충청북도,오정도매,30000.0
110,2013-01-08,5,2013,0.009990909090909095,1.3465909090909087,0.008689393939393941,0.05280681818181818,111.0189393939394,27.46389357244258,7.75,토마토(10kg),충청북도,오정도매,30000.0
125,2013-01-09,5,2013,0.007254545454545458,0.6390151515151515,0.021238636363636373,0.02867651515151516,44.8939393939394,27.224863819708208,8.425,토마토(10kg),충청북도,오정도매,30000.0
140,2013-01-10,5,2013,0.008011742424242426,0.8946969696969695,0.01141666666666667,0.03816212121212122,54.75757575757575,20.465040083176973,8.45,토마토(10kg),충청북도,오정도매,30000.0
155,2013-01-11,5,2013,0.010049621212121216,1.258333333333333,0.008306818181818183,0.04786174242424243,84.875,18.676172970311246,7.175,토마토(10kg),충청북도,오정도매,27000.0
170,2013-01-12,5,2013,0.01569128787878788,1.6473484848484845,0.00823106060606061,0.04635909090909092,127.0719696969697,21.76005011006152,2.125,토마토(10kg),충청북도,오정도매,28000.0
185,2013-01-13,5,2013,0.011700000000000006,1.9833333333333332,0.006647727272727275,0.040062500000000015,196.77272727272728,27.544422639647546,0.425,토마토(10kg),충청북도,오정도매,29000.0
200,2013-01-14,5,2013,0.012001893939393944,1.727651515151515,0.009689393939393944,0.043138257575757566,149.17803030303028,33.04139702561911,4.6,토마토(10kg),충청북도,오정도매,30000.0
215,2013-01-15,5,2013,0.010912500000000006,1.6242424242424245,0.008575757575757577,0.05041098484848485,151.98484848484847,34.78779965895809,7.199999999999998,토마토(10kg),충청북도,오정도매,30000.0
230,2013-01-16,5,2013,0.009309848484848487,1.2761363636363638,0.010928030303030304,0.04341363636363637,128.42045454545453,51.39783612386224,0.325,토마토(10kg),충청북도,오정도매,30000.0
245,2013-01-17,5,2013,0.010882196969696974,0.9159090909090909,0.025844696969696983,0.0295003787878788,116.63257575757576,44.381827164747804,2.1,토마토(10kg),충청북도,오정도매,30000.0
260,2013-01-18,5,2013,0.008314015151515156,1.0712121212121213,0.01418560606060606,0.041371212121212135,98.63636363636364,50.17313139832863,8.024999999999999,토마토(10kg),충청북도,오정도매,30000.0
275,2013-01-19,5,2013,0.010904166666666671,1.2079545454545455,0.011181818181818182,0.042584090909090926,94.0909090909091,43.68886518075281,2.875,토마토(10kg),충청북도,오정도매,30000.0
290,2013-01-20,5,2013,0.010946969696969705,1.38030303030303,0.0146969696969697,0.03595719696969698,124.6818181818182,42.5601170436056,3.225,토마토(10kg),충청북도,오정도매,30000.0
305,2013-01-21,5,2013,0.006367045454545458,0.8662878787878788,0.015719696969696974,0.032270454545454554,34.412878787878796,40.25792837636008,0.125,토마토(10kg),충청북도,오정도매,30000.0
320,2013-01-22,5,2013,0.005442803030303033,0.8670454545454547,0.009060606060606064,0.03239015151515153,31.76515151515152,29.741127539229847,0.0,토마토(10kg),충청북도,오정도매,35000.0
335,2013-01-23,5,2013,0.005234469696969699,0.7636363636363637,0.011416666666666669,0.029343560606060613,40.86742424242424,22.260148494435416,0.0,토마토(10kg),충청북도,오정도매,35000.0
350,2013-01-24,5,2013,0.006797727272727274,0.5912878787878787,0.02490909090909092,0.023280681818181825,64.92803030303031,19.870218099837942,0.05,토마토(10kg),충청북도,오정도매,35000.0
365,2013-01-25,5,2013,0.003996212121212124,0.3026515151515152,0.03088257575757577,0.015752272727272733,39.037878787878796,23.081062469219088,8.925,토마토(10kg),충청북도,오정도매,38000.0
380,2013-01-26,5,2013,0.005063257575757579,0.4007575757575758,0.02788636363636365,0.018178409090909096,38.88636363636363,28.706286032340643,9.0,토마토(10kg),충청북도,오정도매,38000.0
395,2013-01-27,5,2013,0.00584318181818182,0.5704545454545454,0.025196969696969704,0.02004734848484849,50.43939393939394,29.59403302400576,6.75,토마토(10kg),충청북도,오정도매,38000.0
410,2013-01-28,5,2013,0.007439015151515155,0.8000000000000003,0.014674242424242428,0.03140492424242425,69.84848484848484,24.209899745287657,7.025,토마토(10kg),충청북도,오정도매,38000.0
425,2013-01-29,5,2013,0.011718181818181824,1.366666666666667,0.00709848484848485,0.046532954545454565,105.86742424242424,20.971423874836372,0.075,토마토(10kg),충청북도,오정도매,45000.0
440,2013-01-30,5,2013,0.01094734848484849,1.3992424242424244,0.010333333333333337,0.04387007575757577,103.3068181818182,22.985396595509407,5.625,토마토(10kg),충청북도,오정도매,45000.0
455,2013-01-31,5,2013,0.010431060606060609,1.2371212121212125,0.016234848484848487,0.041737121212121225,113.54924242424244,23.572745175207015,7.875,토마토(10kg),충청북도,오정도매,45000.0
470,2013-02-01,5,2013,0.0063916666666666705,0.7397727272727272,0.017568181818181827,0.02911704545454547,45.84090909090908,22.287017052681023,0.15,토마토(10kg),충청북도,오정도매,45000.0
485,2013-02-02,5,2013,0.004585227272727275,0.4530303030303031,0.02857954545454546,0.015772727272727282,50.12878787878788,24.5405841117892,7.675000000000002,토마토(10kg),충청북도,오정도매,45000.0
500,2013-02-03,5,2013,0.004543560606060607,0.5746212121212122,0.012825757575757579,0.022496590909090917,50.83333333333333,28.695370838065,0.175,토마토(10kg),충청북도,오정도매,45000.0
515,2013-02-04,5,2013,0.004717045454545456,0.5916666666666667,0.019147727272727275,0.02594886363636365,43.90530303030302,37.23809905157343,3.2500000000000004,토마토(10kg),충청북도,오정도매,45000.0
530,2013-02-05,5,2013,0.0061424242424242435,1.0856060606060605,0.00791666666666667,0.03588030303030303,91.08333333333334,29.90086062785448,0.125,토마토(10kg),충청북도,오정도매,40000.0
545,2013-02-06,5,2013,0.005717424242424246,0.7541666666666665,0.020314393939393945,0.0279784090909091,56.837121212121204,23.492542625133492,1.0750000000000002,토마토(10kg),충청북도,오정도매,38000.0
560,2013-02-07,5,2013,0.004834848484848487,0.3723484848484848,0.03253030303030305,0.013656060606060614,43.85606060606061,25.1336595387591,8.5,토마토(10kg),충청북도,오정도매,38000.0
575,2013-02-08,5,2013,0.005022727272727275,0.4272727272727273,0.026087121212121218,0.018566666666666672,48.60984848484849,32.38522966581819,9.25,토마토(10kg),충청북도,오정도매,38000.0
590,2013-02-09,5,2013,0.00518068181818182,0.6844696969696971,0.02058333333333334,0.02738371212121213,59.17424242424242,31.093288075775238,9.45,토마토(10kg),충청북도,오정도매,38000.0
605,2013-02-10,5,2013,0.00708068181818182,0.7549242424242426,0.02612500000000001,0.02228257575757577,72.76515151515152,31.28745686724093,2.875,토마토(10kg),충청북도,오정도매,38000.0
620,2013-02-11,5,2013,0.005229924242424243,0.4928030303030304,0.03072727272727274,0.016808333333333342,42.38636363636363,22.181906680183975,9.45,토마토(10kg),충청북도,오정도매,38000.0
635,2013-02-12,5,2013,0.0055909090909090926,0.6560606060606061,0.017473484848484853,0.028716287878787886,59.11363636363635,18.22198192319339,0.5,토마토(10kg),충청북도,오정도매,38000.0
650,2013-02-13,5,2013,0.0070734848484848515,0.7560606060606062,0.019212121212121208,0.030720454545454558,65.67803030303031,19.933405724898087,9.25,토마토(10kg),충청북도,오정도매,38000.0
665,2013-02-14,5,2013,0.007379924242424245,0.9234848484848484,0.017337121212121217,0.03739848484848485,104.52651515151516,29.795514776652396,8.399999999999999,토마토(10kg),충청북도,오정도매,38000.0
680,2013-02-15,5,2013,0.00647348484848485,0.6897727272727273,0.02188636363636364,0.02988371212121213,73.46212121212123,30.262980878075552,8.599999999999998,토마토(10kg),충청북도,오정도매,38000.0
695,2013-02-16,5,2013,0.007182954545454549,0.5609848484848486,0.023200757575757583,0.024865909090909098,45.962121212121204,26.816219167431765,9.775,토마토(10kg),충청북도,오정도매,37000.0
710,2013-02-17,5,2013,0.007568560606060606,0.7098484848484848,0.016810606060606068,0.02974848484848486,61.19318181818181,18.99466587914599,3.175,토마토(10kg),충청북도,오정도매,36000.0
725,2013-02-18,5,2013,0.007014393939393943,0.6462121212121213,0.018541666666666668,0.029026136363636382,65.11742424242424,21.259560623042056,3.8,토마토(10kg),충청북도,오정도매,35000.0
740,2013-02-19,5,2013,0.004672348484848487,0.35946969696969705,0.030166666666666675,0.018823863636363646,52.1969696969697,36.972827645605996,7.949999999999998,토마토(10kg),충청북도,오정도매,35000.0
755,2013-02-20,5,2013,0.005801136363636366,0.378030303030303,0.0297348484848485,0.02043219696969697,39.31060606060606,34.34027037676496,9.75,토마토(10kg),충청북도,오정도매,35000.0
770,2013-02-21,5,2013,0.007992424242424245,0.5799242424242425,0.028833333333333343,0.02604318181818183,60.42424242424241,20.34123708320832,9.425,토마토(10kg),충청북도,오정도매,35000.0
785,2013-02-22,5,2013,0.008412878787878792,0.7015151515151513,0.025306818181818184,0.02947045454545455,80.82954545454545,26.088932866143132,3.075,토마토(10kg),충청북도,오정도매,35000.0
800,2013-02-23,5,2013,0.006635606060606064,0.484469696969697,0.033678030303030314,0.02020795454545456,48.31060606060606,41.127888667446335,9.9,토마토(10kg),충청북도,오정도매,35000.0
815,2013-02-24,5,2013,0.007968939393939395,0.7534090909090909,0.025837121212121214,0.02445303030303031,59.31439393939393,33.539531596251265,7.899999999999999,토마토(10kg),충청북도,오정도매,35000.0
830,2013-02-25,5,2013,0.009015909090909095,0.9265151515151516,0.01663257575757576,0.03588106060606062,83.60606060606061,30.715877543064718,4.8,토마토(10kg),충청북도,오정도매,35000.0
845,2013-02-26,5,2013,0.009776136363636369,1.068181818181818,0.01265530303030303,0.04389886363636365,121.88257575757576,35.892142129924494,0.95,토마토(10kg),충청북도,오정도매,36000.0
860,2013-02-27,5,2013,0.006675378787878791,0.6242424242424242,0.026147727272727274,0.03187159090909092,87.21969696969695,40.44747690367007,7.949999999999998,토마토(10kg),충청북도,오정도매,31000.0
875,2013-02-28,5,2013,0.008082575757575759,0.9852272727272732,0.016530303030303034,0.04485303030303032,108.48106060606064,35.72928268138588,8.1,토마토(10kg),충청북도,오정도매,31000.0
890,2013-03-01,5,2013,0.005480303030303032,0.5125000000000003,0.035973484848484866,0.0190909090909091,69.89393939393939,28.926879746357823,7.325,토마토(10kg),충청북도,오정도매,31000.0
905,2013-03-02,5,2013,0.0050106060606060635,0.4231060606060605,0.03463636363636365,0.017959469696969706,47.66666666666667,25.174213904999352,9.8,토마토(10kg),충청북도,오정도매,31000.0
920,2013-03-03,5,2013,0.005620833333333335,0.4981060606060606,0.02973863636363637,0.01873106060606061,48.8219696969697,26.094036484117346,9.25,토마토(10kg),충청북도,오정도매,31000.0
935,2013-03-04,5,2013,0.008886363636363637,0.7935606060606062,0.023333333333333338,0.03129015151515152,92.6060606060606,27.4994708321909,4.575,토마토(10kg),충청북도,오정도매,31000.0
950,2013-03-05,5,2013,0.008906439393939399,0.9594696969696971,0.02347727272727273,0.03486060606060608,119.68560606060606,21.790081769372925,9.85,토마토(10kg),충청북도,오정도매,31000.0
965,2013-03-06,5,2013,0.009154545454545457,0.9257575757575758,0.020140151515151517,0.04207992424242425,116.69696969696967,21.718958855023562,8.4,토마토(10kg),충청북도,오정도매,35000.0
980,2013-03-07,5,2013,0.007601515151515155,0.781818181818182,0.03417045454545455,0.03145303030303031,133.625,20.833634437415675,0.975,토마토(10kg),충청북도,오정도매,35000.0
995,2013-03-08,5,2013,0.007225378787878789,0.8863636363636364,0.03013257575757576,0.0318814393939394,155.48863636363637,23.279401938237253,6.45,토마토(10kg),충청북도,오정도매,32000.0
1010,2013-03-09,5,2013,0.008215909090909095,0.9492424242424246,0.04488257575757575,0.03015,174.4242424242424,28.466716171186327,9.45,토마토(10kg),충청북도,오정도매,32000.0
1025,2013-03-10,5,2013,0.0042037878787878815,0.35757575757575755,0.042704545454545474,0.012791666666666672,78.125,24.61820719445393,10.75,토마토(10kg),충청북도,오정도매,32000.0
