품종명,도,마켓명,연도,날짜,가격,월,일,연월,일시
토마토(10kg),광주광역시,각화도매,2013,01/02,28000,01,02,2013-01,2013-01-02
토마토(10kg),광주광역시,각화도매,2013,01/03,28000,01,03,2013-01,2013-01-03
토마토(10kg),광주광역시,각화도매,2013,01/04,28000,01,04,2013-01,2013-01-04
토마토(10kg),광주광역시,각화도매,2013,01/07,28000,01,07,2013-01,2013-01-07
토마토(10kg),광주광역시,각화도매,2013,01/08,28000,01,08,2013-01,2013-01-08
토마토(10kg),광주광역시,각화도매,2013,01/09,28000,01,09,2013-01,2013-01-09
토마토(10kg),광주광역시,각화도매,2013,01/10,28000,01,10,2013-01,2013-01-10
토마토(10kg),광주광역시,각화도매,2013,01/11,28000,01,11,2013-01,2013-01-11
토마토(10kg),광주광역시,각화도매,2013,01/14,28000,01,14,2013-01,2013-01-14
토마토(10kg),광주광역시,각화도매,2013,01/15,28000,01,15,2013-01,2013-01-15
토마토(10kg),광주광역시,각화도매,2013,01/16,28000,01,16,2013-01,2013-01-16
토마토(10kg),광주광역시,각화도매,2013,01/17,28000,01,17,2013-01,2013-01-17
토마토(10kg),광주광역시,각화도매,2013,01/18,28000,01,18,2013-01,2013-01-18
토마토(10kg),광주광역시,각화도매,2013,01/21,30000,01,21,2013-01,2013-01-21
토마토(10kg),광주광역시,각화도매,2013,01/22,30000,01,22,2013-01,2013-01-22
토마토(10kg),광주광역시,각화도매,2013,01/23,32000,01,23,2013-01,2013-01-23
토마토(10kg),광주광역시,각화도매,2013,01/24,32000,01,24,2013-01,2013-01-24
토마토(10kg),광주광역시,각화도매,2013,01/25,32000,01,25,2013-01,2013-01-25
토마토(10kg),광주광역시,각화도매,2013,01/28,32000,01,28,2013-01,2013-01-28
토마토(10kg),광주광역시,각화도매,2013,01/29,32000,01,29,2013-01,2013-01-29
토마토(10kg),광주광역시,각화도매,2013,01/30,32000,01,30,2013-01,2013-01-30
토마토(10kg),광주광역시,각화도매,2013,01/31,32000,01,31,2013-01,2013-01-31
토마토(10kg),광주광역시,각화도매,2013,02/01,32000,02,01,2013-02,2013-02-01
토마토(10kg),광주광역시,각화도매,2013,02/04,32000,02,04,2013-02,2013-02-04
토마토(10kg),광주광역시,각화도매,2013,02/05,32000,02,05,2013-02,2013-02-05
토마토(10kg),광주광역시,각화도매,2013,02/06,32000,02,06,2013-02,2013-02-06
토마토(10kg),광주광역시,각화도매,2013,02/07,32000,02,07,2013-02,2013-02-07
