품종명,도,마켓명,파종 예상 일시,파종 연도,가격
토마토(10kg),광주광역시,각화도매,2013-01-02,2013,28000
토마토(10kg),광주광역시,각화도매,2013-01-03,2013,28000
토마토(10kg),광주광역시,각화도매,2013-01-06,2013,26000
토마토(10kg),광주광역시,각화도매,2013-01-07,2013,26000
토마토(10kg),광주광역시,각화도매,2013-01-08,2013,25000
토마토(10kg),광주광역시,각화도매,2013-01-09,2013,25000
토마토(10kg),광주광역시,각화도매,2013-01-10,2013,25000
토마토(10kg),광주광역시,각화도매,2013-01-13,2013,20000
토마토(10kg),광주광역시,각화도매,2013-01-14,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-15,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-16,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-20,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-21,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-22,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-23,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-24,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-27,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-28,2013,18000
토마토(10kg),광주광역시,각화도매,2013-01-29,2013,20000
토마토(10kg),광주광역시,각화도매,2013-01-30,2013,20000
토마토(10kg),광주광역시,각화도매,2013-01-31,2013,20000
토마토(10kg),광주광역시,각화도매,2013-02-03,2013,20000
토마토(10kg),광주광역시,각화도매,2013-02-04,2013,20000
토마토(10kg),광주광역시,각화도매,2013-02-05,2013,20000
토마토(10kg),광주광역시,각화도매,2013-02-07,2013,20000
토마토(10kg),광주광역시,각화도매,2013-02-10,2013,20000
토마토(10kg),광주광역시,각화도매,2013-02-11,2013,18000
토마토(10kg),광주광역시,각화도매,2013-02-12,2013,18000
토마토(10kg),광주광역시,각화도매,2013-02-13,2013,17000
토마토(10kg),광주광역시,각화도매,2013-02-14,2013,17000
토마토(10kg),광주광역시,각화도매,2013-02-17,2013,17000
토마토(10kg),광주광역시,각화도매,2013-02-18,2013,17000
토마토(10kg),광주광역시,각화도매,2013-02-19,2013,17000
토마토(10kg),광주광역시,각화도매,2013-02-20,2013,17000
토마토(10kg),광주광역시,각화도매,2013-02-21,2013,17000
토마토(10kg),광주광역시,각화도매,2013-02-24,2013,18000
토마토(10kg),광주광역시,각화도매,2013-02-25,2013,18000
토마토(10kg),광주광역시,각화도매,2013-02-26,2013,18000
토마토(10kg),광주광역시,각화도매,2013-02-27,2013,18000
토마토(10kg),광주광역시,각화도매,2013-02-28,2013,18000
토마토(10kg),광주광역시,각화도매,2013-03-03,2013,18000
토마토(10kg),광주광역시,각화도매,2013-03-04,2013,22000
토마토(10kg),광주광역시,각화도매,2013-03-05,2013,22000
토마토(10kg),광주광역시,각화도매,2013-03-06,2013,22000
토마토(10kg),광주광역시,각화도매,2013-03-07,2013,22000
토마토(10kg),광주광역시,각화도매,2013-03-10,2013,25000
토마토(10kg),광주광역시,각화도매,2013-03-11,2013,25000
토마토(10kg),광주광역시,각화도매,2013-03-12,2013,25000
토마토(10kg),광주광역시,각화도매,2013-03-13,2013,25000
토마토(10kg),광주광역시,각화도매,2013-03-14,2013,25000
토마토(10kg),광주광역시,각화도매,2013-03-17,2013,25000
토마토(10kg),광주광역시,각화도매,2013-03-18,2013,25000
토마토(10kg),광주광역시,각화도매,2013-03-19,2013,28000
토마토(10kg),광주광역시,각화도매,2013-03-20,2013,28000
토마토(10kg),광주광역시,각화도매,2013-03-21,2013,28000
토마토(10kg),광주광역시,각화도매,2013-03-24,2013,28000
토마토(10kg),광주광역시,각화도매,2013-03-25,2013,28000
토마토(10kg),광주광역시,각화도매,2013-03-26,2013,28000
토마토(10kg),광주광역시,각화도매,2013-03-27,2013,28000
토마토(10kg),광주광역시,각화도매,2013-03-28,2013,28000
토마토(10kg),광주광역시,각화도매,2013-03-31,2013,28000
토마토(10kg),광주광역시,각화도매,2013-04-01,2013,32000
토마토(10kg),광주광역시,각화도매,2013-04-02,2013,32000
토마토(10kg),광주광역시,각화도매,2013-04-03,2013,32000
토마토(10kg),광주광역시,각화도매,2013-04-04,2013,32000
토마토(10kg),광주광역시,각화도매,2013-04-07,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-08,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-09,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-10,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-11,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-14,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-15,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-16,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-18,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-21,2013,25000
토마토(10kg),광주광역시,각화도매,2013-04-22,2013,25000
토마토(10kg),광주광역시,각화도매,2013-04-23,2013,25000
토마토(10kg),광주광역시,각화도매,2013-04-24,2013,25000
토마토(10kg),광주광역시,각화도매,2013-04-25,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-28,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-29,2013,27000
토마토(10kg),광주광역시,각화도매,2013-04-30,2013,28000
토마토(10kg),광주광역시,각화도매,2013-05-01,2013,28000
토마토(10kg),광주광역시,각화도매,2013-05-02,2013,28000
토마토(10kg),광주광역시,각화도매,2013-05-05,2013,28000
토마토(10kg),광주광역시,각화도매,2013-05-06,2013,28000
토마토(10kg),광주광역시,각화도매,2013-05-07,2013,35000
