품종명,시군구,마켓명,연도,날짜,가격
토마토(10kg),광주,각화도매,2013,01/02,"28,000"
토마토(10kg),광주,각화도매,2013,01/03,"28,000"
토마토(10kg),광주,각화도매,2013,01/04,"28,000"
토마토(10kg),광주,각화도매,2013,01/07,"28,000"
토마토(10kg),광주,각화도매,2013,01/08,"28,000"
토마토(10kg),광주,각화도매,2013,01/09,"28,000"
토마토(10kg),광주,각화도매,2013,01/10,"28,000"
토마토(10kg),광주,각화도매,2013,01/11,"28,000"
토마토(10kg),광주,각화도매,2013,01/14,"28,000"
토마토(10kg),광주,각화도매,2013,01/15,"28,000"
토마토(10kg),광주,각화도매,2013,01/16,"28,000"
토마토(10kg),광주,각화도매,2013,01/17,"28,000"
토마토(10kg),광주,각화도매,2013,01/18,"28,000"
토마토(10kg),광주,각화도매,2013,01/21,"30,000"
토마토(10kg),광주,각화도매,2013,01/22,"30,000"
토마토(10kg),광주,각화도매,2013,01/23,"32,000"
토마토(10kg),광주,각화도매,2013,01/24,"32,000"
토마토(10kg),광주,각화도매,2013,01/25,"32,000"
토마토(10kg),광주,각화도매,2013,01/28,"32,000"
토마토(10kg),광주,각화도매,2013,01/29,"32,000"
토마토(10kg),광주,각화도매,2013,01/30,"32,000"
토마토(10kg),광주,각화도매,2013,01/31,"32,000"
토마토(10kg),광주,각화도매,2013,02/01,"32,000"
토마토(10kg),광주,각화도매,2013,02/04,"32,000"
토마토(10kg),광주,각화도매,2013,02/05,"32,000"
토마토(10kg),광주,각화도매,2013,02/06,"32,000"
토마토(10kg),광주,각화도매,2013,02/07,"32,000"
토마토(10kg),광주,각화도매,2013,02/08,"32,000"
토마토(10kg),광주,각화도매,2013,02/12,"32,000"
토마토(10kg),광주,각화도매,2013,02/13,"32,000"
토마토(10kg),광주,각화도매,2013,02/14,"32,000"
토마토(10kg),광주,각화도매,2013,02/15,"32,000"
토마토(10kg),광주,각화도매,2013,02/18,"32,000"
토마토(10kg),광주,각화도매,2013,02/19,"32,000"
토마토(10kg),광주,각화도매,2013,02/20,"32,000"
토마토(10kg),광주,각화도매,2013,02/21,"32,000"
토마토(10kg),광주,각화도매,2013,02/22,"32,000"
토마토(10kg),광주,각화도매,2013,02/25,"32,000"
토마토(10kg),광주,각화도매,2013,02/26,"32,000"
토마토(10kg),광주,각화도매,2013,02/27,"30,000"
토마토(10kg),광주,각화도매,2013,02/28,"30,000"
토마토(10kg),광주,각화도매,2013,03/04,"30,000"
토마토(10kg),광주,각화도매,2013,03/05,"30,000"
토마토(10kg),광주,각화도매,2013,03/06,"30,000"
토마토(10kg),광주,각화도매,2013,03/07,"30,000"
토마토(10kg),광주,각화도매,2013,03/08,"30,000"
토마토(10kg),광주,각화도매,2013,03/11,"30,000"
토마토(10kg),광주,각화도매,2013,03/12,"30,000"
토마토(10kg),광주,각화도매,2013,03/13,"30,000"
토마토(10kg),광주,각화도매,2013,03/14,"30,000"
토마토(10kg),광주,각화도매,2013,03/15,"30,000"
토마토(10kg),광주,각화도매,2013,03/18,"30,000"
토마토(10kg),광주,각화도매,2013,03/19,"30,000"
토마토(10kg),광주,각화도매,2013,03/20,"30,000"
토마토(10kg),광주,각화도매,2013,03/21,"30,000"
토마토(10kg),광주,각화도매,2013,03/22,"30,000"
토마토(10kg),광주,각화도매,2013,03/25,"35,000"
토마토(10kg),광주,각화도매,2013,03/26,"35,000"
토마토(10kg),광주,각화도매,2013,03/27,"35,000"
